Experiment Name,141020 Index sort for fluidigm 96X96
Specimen Name,Specimen_001
Tube Name,INX_141020 Plate #1_001
Record Date,"Oct 20, 2014 8:58:42 PM"
$OP, 
GUID,27a106a9-eba3-4309-863a-5066a2c91b35 
Date Analyzed,10/28/2014 14:14

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P5 #Events,P5 %Parent,P5 FSC-A Min,P5 FSC-A Max,P5 FSC-A Geo Mean,P5 FSC-A Mean,P5 FSC-A Median,P5 FSC-A SD,P5 FSC-A rSD,P5 FSC-A %CV,P5 FSC-A %rCV,P5 FSC-A Mode,P5 FSC-W Min,P5 FSC-W Max,P5 FSC-W Geo Mean,P5 FSC-W Mean,P5 FSC-W Median,P5 FSC-W SD,P5 FSC-W rSD,P5 FSC-W %CV,P5 FSC-W %rCV,P5 FSC-W Mode,P5 FSC-H Min,P5 FSC-H Max,P5 FSC-H Geo Mean,P5 FSC-H Mean,P5 FSC-H Median,P5 FSC-H SD,P5 FSC-H rSD,P5 FSC-H %CV,P5 FSC-H %rCV,P5 FSC-H Mode,P5 SSC-A Min,P5 SSC-A Max,P5 SSC-A Geo Mean,P5 SSC-A Mean,P5 SSC-A Median,P5 SSC-A SD,P5 SSC-A rSD,P5 SSC-A %CV,P5 SSC-A %rCV,P5 SSC-A Mode,P5 CD41 Alexa Fluor 488-A Min,P5 CD41 Alexa Fluor 488-A Max,P5 CD41 Alexa Fluor 488-A Geo Mean,P5 CD41 Alexa Fluor 488-A Mean,P5 CD41 Alexa Fluor 488-A Median,P5 CD41 Alexa Fluor 488-A SD,P5 CD41 Alexa Fluor 488-A rSD,P5 CD41 Alexa Fluor 488-A %CV,P5 CD41 Alexa Fluor 488-A %rCV,P5 CD41 Alexa Fluor 488-A Mode,P5 CD55 PE-A Min,P5 CD55 PE-A Max,P5 CD55 PE-A Geo Mean,P5 CD55 PE-A Mean,P5 CD55 PE-A Median,P5 CD55 PE-A SD,P5 CD55 PE-A rSD,P5 CD55 PE-A %CV,P5 CD55 PE-A %rCV,P5 CD55 PE-A Mode,P5 CD45-2 PE-Texas Red-A Min,P5 CD45-2 PE-Texas Red-A Max,P5 CD45-2 PE-Texas Red-A Geo Mean,P5 CD45-2 PE-Texas Red-A Mean,P5 CD45-2 PE-Texas Red-A Median,P5 CD45-2 PE-Texas Red-A SD,P5 CD45-2 PE-Texas Red-A rSD,P5 CD45-2 PE-Texas Red-A %CV,P5 CD45-2 PE-Texas Red-A %rCV,P5 CD45-2 PE-Texas Red-A Mode,P5 Lineage PE-Cy5-A Min,P5 Lineage PE-Cy5-A Max,P5 Lineage PE-Cy5-A Geo Mean,P5 Lineage PE-Cy5-A Mean,P5 Lineage PE-Cy5-A Median,P5 Lineage PE-Cy5-A SD,P5 Lineage PE-Cy5-A rSD,P5 Lineage PE-Cy5-A %CV,P5 Lineage PE-Cy5-A %rCV,P5 Lineage PE-Cy5-A Mode,P5 PI PerCP-Cy5-5-A Min,P5 PI PerCP-Cy5-5-A Max,P5 PI PerCP-Cy5-5-A Geo Mean,P5 PI PerCP-Cy5-5-A Mean,P5 PI PerCP-Cy5-5-A Median,P5 PI PerCP-Cy5-5-A SD,P5 PI PerCP-Cy5-5-A rSD,P5 PI PerCP-Cy5-5-A %CV,P5 PI PerCP-Cy5-5-A %rCV,P5 PI PerCP-Cy5-5-A Mode,P5 CD105 PE-Cy7-A Min,P5 CD105 PE-Cy7-A Max,P5 CD105 PE-Cy7-A Geo Mean,P5 CD105 PE-Cy7-A Mean,P5 CD105 PE-Cy7-A Median,P5 CD105 PE-Cy7-A SD,P5 CD105 PE-Cy7-A rSD,P5 CD105 PE-Cy7-A %CV,P5 CD105 PE-Cy7-A %rCV,P5 CD105 PE-Cy7-A Mode,P5 CD150 APC-A Min,P5 CD150 APC-A Max,P5 CD150 APC-A Geo Mean,P5 CD150 APC-A Mean,P5 CD150 APC-A Median,P5 CD150 APC-A SD,P5 CD150 APC-A rSD,P5 CD150 APC-A %CV,P5 CD150 APC-A %rCV,P5 CD150 APC-A Mode,P5 FcgR Alexa Fluor 700-A Min,P5 FcgR Alexa Fluor 700-A Max,P5 FcgR Alexa Fluor 700-A Geo Mean,P5 FcgR Alexa Fluor 700-A Mean,P5 FcgR Alexa Fluor 700-A Median,P5 FcgR Alexa Fluor 700-A SD,P5 FcgR Alexa Fluor 700-A rSD,P5 FcgR Alexa Fluor 700-A %CV,P5 FcgR Alexa Fluor 700-A %rCV,P5 FcgR Alexa Fluor 700-A Mode,P5 cKit APC-Cy7-A Min,P5 cKit APC-Cy7-A Max,P5 cKit APC-Cy7-A Geo Mean,P5 cKit APC-Cy7-A Mean,P5 cKit APC-Cy7-A Median,P5 cKit APC-Cy7-A SD,P5 cKit APC-Cy7-A rSD,P5 cKit APC-Cy7-A %CV,P5 cKit APC-Cy7-A %rCV,P5 cKit APC-Cy7-A Mode,P5 Sca1 DAPI-A Min,P5 Sca1 DAPI-A Max,P5 Sca1 DAPI-A Geo Mean,P5 Sca1 DAPI-A Mean,P5 Sca1 DAPI-A Median,P5 Sca1 DAPI-A SD,P5 Sca1 DAPI-A rSD,P5 Sca1 DAPI-A %CV,P5 Sca1 DAPI-A %rCV,P5 Sca1 DAPI-A Mode,P5 CD115 BV605 Qdot 605-A Min,P5 CD115 BV605 Qdot 605-A Max,P5 CD115 BV605 Qdot 605-A Geo Mean,P5 CD115 BV605 Qdot 605-A Mean,P5 CD115 BV605 Qdot 605-A Median,P5 CD115 BV605 Qdot 605-A SD,P5 CD115 BV605 Qdot 605-A rSD,P5 CD115 BV605 Qdot 605-A %CV,P5 CD115 BV605 Qdot 605-A %rCV,P5 CD115 BV605 Qdot 605-A Mode,P5 Time Min,P5 Time Max,P5 Time Geo Mean,P5 Time Mean,P5 Time Median,P5 Time SD,P5 Time rSD,P5 Time %CV,P5 Time %rCV,P5 Time Mode
A1,1,100.0,"170,184","170,184","170,184","170,184","170,184",,0,,0.0,"169,984","94,819","94,819","94,819","94,819","94,819",,0,,0.0,"94,720","117,626","117,626","117,626","117,626","117,626",,0,,0.0,"117,504","97,650","97,650","97,650","97,650","97,650",,0,,0.0,"97,536",80,80,80,80,80,,0,,0.0,79,26,26,26,26,26,,0,,0.0,25,"1,166","1,166","1,166","1,166","1,166",,0,,0.0,"1,152","6,009","6,009","6,009","6,009","6,009",,0,,0.0,"5,978",-397,-397,,-397,-397,,0,,0.0,1,-232,-232,,-232,-232,,0,,0.0,1,-53,-53,,-53,-53,,0,,0.0,1,466,466,466,466,466,,0,,0.0,462,359,359,359,359,359,,0,,0.0,357,172,172,172,172,172,,0,,0.0,170,"2,125","2,125","2,125","2,125","2,125",,0,,0.0,"2,120","4,151","4,151","4,151","4,151","4,151",,0,,0.0,"4,096"
A2,1,100.0,"232,885","232,885","232,885","232,885","232,885",,0,,0.0,"232,704","102,261","102,261","102,261","102,261","102,261",,0,,0.0,"102,144","149,249","149,249","149,249","149,249","149,249",,0,,0.0,"149,248","147,115","147,115","147,115","147,115","147,115",,0,,0.0,"146,944",148,148,148,148,148,,0,,0.0,147,92,92,92,92,92,,0,,0.0,91,"1,114","1,114","1,114","1,114","1,114",,0,,0.0,"1,111","2,172","2,172","2,172","2,172","2,172",,0,,0.0,"2,146",-38,-38,,-38,-38,,0,,0.0,1,149,149,149,149,149,,0,,0.0,148,-32,-32,,-32,-32,,0,,0.0,1,594,594,594,594,594,,0,,0.0,589,575,575,575,575,575,,0,,0.0,575,37,37,37,37,37,,0,,0.0,37,"62,784","62,784","62,784","62,784","62,784",,0,,0.0,"62,162","4,391","4,391","4,391","4,391","4,391",,0,,0.0,"4,352"
A3,1,100.0,"234,753","234,753","234,753","234,753","234,753",,0,,0.0,"234,752","98,392","98,392","98,392","98,392","98,392",,0,,0.0,"98,304","156,362","156,362","156,362","156,362","156,362",,0,,0.0,"156,160","109,002","109,002","109,002","109,002","109,002",,0,,0.0,"108,800",79,79,79,79,79,,0,,0.0,79,"5,542","5,542","5,542","5,542","5,542",,0,,0.0,"5,489",416,416,416,416,416,,0,,0.0,414,"1,615","1,615","1,615","1,615","1,615",,0,,0.0,"1,601",-402,-402,,-402,-402,,0,,0.0,1,"4,706","4,706","4,706","4,706","4,706",,0,,0.0,"4,684",-154,-154,,-154,-154,,0,,0.0,1,-32,-32,,-32,-32,,0,,0.0,1,"1,411","1,411","1,411","1,411","1,411",,0,,0.0,"1,400",123,123,123,123,123,,0,,0.0,122,709,709,709,709,709,,0,,0.0,707,"4,589","4,589","4,589","4,589","4,589",,0,,0.0,"4,352"
A4,1,100.0,"190,384","190,384","190,384","190,384","190,384",,0,,0.0,"190,208","94,801","94,801","94,801","94,801","94,801",,0,,0.0,"94,720","131,613","131,613","131,613","131,613","131,613",,0,,0.0,"131,584","107,557","107,557","107,557","107,557","107,557",,0,,0.0,"107,520",9,9,9,9,9,,0,,0.0,8,"2,590","2,590","2,590","2,590","2,590",,0,,0.0,"2,577",548,548,548,548,548,,0,,0.0,541,603,603,603,603,603,,0,,0.0,596,-250,-250,,-250,-250,,0,,0.0,1,"3,165","3,165","3,165","3,165","3,165",,0,,0.0,"3,132",162,162,162,162,162,,0,,0.0,160,-28,-28,,-28,-28,,0,,0.0,1,"1,410","1,410","1,410","1,410","1,410",,0,,0.0,"1,400",66,66,66,66,66,,0,,0.0,66,-783,-783,,-783,-783,,0,,0.0,1,"4,781","4,781","4,781","4,781","4,781",,0,,0.0,"4,608"
A5,1,100.0,"143,491","143,491","143,491","143,491","143,491",,0,,0.0,"143,360","87,692","87,692","87,692","87,692","87,692",,0,,0.0,"87,552","107,237","107,237","107,237","107,237","107,237",,0,,0.0,"107,008","44,744","44,744","44,744","44,744","44,744",,0,,0.0,"44,544",134,134,134,134,134,,0,,0.0,133,9,9,9,9,9,,0,,0.0,8,768,768,768,768,768,,0,,0.0,761,"1,121","1,121","1,121","1,121","1,121",,0,,0.0,"1,111",-296,-296,,-296,-296,,0,,0.0,1,-1,-1,,-1,-1,,0,,0.0,1,166,166,166,166,166,,0,,0.0,164,34,34,34,34,34,,0,,0.0,33,913,913,913,913,913,,0,,0.0,903,88,88,88,88,88,,0,,0.0,87,522,522,522,522,522,,0,,0.0,515,"4,973","4,973","4,973","4,973","4,973",,0,,0.0,"4,864"
A6,1,100.0,"184,039","184,039","184,039","184,039","184,039",,0,,0.0,"183,808","93,062","93,062","93,062","93,062","93,062",,0,,0.0,"92,928","129,604","129,604","129,604","129,604","129,604",,0,,0.0,"129,536","57,098","57,098","57,098","57,098","57,098",,0,,0.0,"57,088",39,39,39,39,39,,0,,0.0,38,-15,-15,,-15,-15,,0,,0.0,1,560,560,560,560,560,,0,,0.0,554,"1,371","1,371","1,371","1,371","1,371",,0,,0.0,"1,367",146,146,146,146,146,,0,,0.0,145,89,89,89,89,89,,0,,0.0,89,-31,-31,,-31,-31,,0,,0.0,1,731,731,731,731,731,,0,,0.0,725,343,343,343,343,343,,0,,0.0,340,26,26,26,26,26,,0,,0.0,25,"46,632","46,632","46,632","46,632","46,632",,0,,0.0,"46,388","5,170","5,170","5,170","5,170","5,170",,0,,0.0,"5,120"
A7,1,100.0,"165,321","165,321","165,321","165,321","165,321",,0,,0.0,"165,120","91,249","91,249","91,249","91,249","91,249",,0,,0.0,"91,136","118,736","118,736","118,736","118,736","118,736",,0,,0.0,"118,528","61,592","61,592","61,592","61,592","61,592",,0,,0.0,"61,440",87,87,87,87,87,,0,,0.0,87,"1,068","1,068","1,068","1,068","1,068",,0,,0.0,"1,058","1,426","1,426","1,426","1,426","1,426",,0,,0.0,"1,418","2,168","2,168","2,168","2,168","2,168",,0,,0.0,"2,146",-274,-274,,-274,-274,,0,,0.0,1,243,243,243,243,243,,0,,0.0,242,"1,074","1,074","1,074","1,074","1,074",,0,,0.0,"1,071",161,161,161,161,161,,0,,0.0,160,"1,032","1,032","1,032","1,032","1,032",,0,,0.0,"1,020",185,185,185,185,185,,0,,0.0,185,521,521,521,521,521,,0,,0.0,515,"5,365","5,365","5,365","5,365","5,365",,0,,0.0,"5,120"
A8,1,100.0,"163,187","163,187","163,187","163,187","163,187",,0,,0.0,"163,072","92,764","92,764","92,764","92,764","92,764",,0,,0.0,"92,672","115,288","115,288","115,288","115,288","115,288",,0,,0.0,"115,200","69,212","69,212","69,212","69,212","69,212",,0,,0.0,"69,120",57,57,57,57,57,,0,,0.0,56,"2,817","2,817","2,817","2,817","2,817",,0,,0.0,"2,806",339,339,339,339,339,,0,,0.0,336,"3,033","3,033","3,033","3,033","3,033",,0,,0.0,"3,020",-506,-506,,-506,-506,,0,,0.0,1,"4,514","4,514","4,514","4,514","4,514",,0,,0.0,"4,461",111,111,111,111,111,,0,,0.0,111,-122,-122,,-122,-122,,0,,0.0,1,507,507,507,507,507,,0,,0.0,503,-23,-23,,-23,-23,,0,,0.0,1,"-1,082","-1,082",,"-1,082","-1,082",,0,,0.0,1,"5,560","5,560","5,560","5,560","5,560",,0,,0.0,"5,376"
A9,1,100.0,"201,823","201,823","201,823","201,823","201,823",,0,,0.0,"201,728","102,567","102,567","102,567","102,567","102,567",,0,,0.0,"102,400","128,956","128,956","128,956","128,956","128,956",,0,,0.0,"128,768","54,090","54,090","54,090","54,090","54,090",,0,,0.0,"54,016",25,25,25,25,25,,0,,0.0,25,"1,168","1,168","1,168","1,168","1,168",,0,,0.0,"1,166","1,266","1,266","1,266","1,266","1,266",,0,,0.0,"1,255","1,782","1,782","1,782","1,782","1,782",,0,,0.0,"1,766",-140,-140,,-140,-140,,0,,0.0,1,"1,971","1,971","1,971","1,971","1,971",,0,,0.0,"1,970",81,81,81,81,81,,0,,0.0,81,67,67,67,67,67,,0,,0.0,66,"1,110","1,110","1,110","1,110","1,110",,0,,0.0,"1,097",-14,-14,,-14,-14,,0,,0.0,1,591,591,591,591,591,,0,,0.0,589,"5,757","5,757","5,757","5,757","5,757",,0,,0.0,"5,632"
A10,1,100.0,"188,665","188,665","188,665","188,665","188,665",,0,,0.0,"188,416","93,875","93,875","93,875","93,875","93,875",,0,,0.0,"93,696","131,710","131,710","131,710","131,710","131,710",,0,,0.0,"131,584","103,816","103,816","103,816","103,816","103,816",,0,,0.0,"103,680",153,153,153,153,153,,0,,0.0,150,58,58,58,58,58,,0,,0.0,57,485,485,485,485,485,,0,,0.0,479,"3,818","3,818","3,818","3,818","3,818",,0,,0.0,"3,807",-50,-50,,-50,-50,,0,,0.0,1,66,66,66,66,66,,0,,0.0,66,-132,-132,,-132,-132,,0,,0.0,1,295,295,295,295,295,,0,,0.0,294,982,982,982,982,982,,0,,0.0,971,131,131,131,131,131,,0,,0.0,130,"18,764","18,764","18,764","18,764","18,764",,0,,0.0,"18,585","5,948","5,948","5,948","5,948","5,948",,0,,0.0,"5,888"
