Experiment Name,141020 Index sort for fluidigm 96X96
Specimen Name,Specimen_001
Tube Name,INX_141020 Plate #2_001
Record Date,"Oct 20, 2014 9:14:33 PM"
$OP, 
GUID,27a106a9-eba3-4309-863a-5066a2c91b35 
Date Analyzed,10/28/2014 14:16

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P5 #Events,P5 %Parent,P5 FSC-A Min,P5 FSC-A Max,P5 FSC-A Geo Mean,P5 FSC-A Mean,P5 FSC-A Median,P5 FSC-A SD,P5 FSC-A rSD,P5 FSC-A %CV,P5 FSC-A %rCV,P5 FSC-A Mode,P5 FSC-W Min,P5 FSC-W Max,P5 FSC-W Geo Mean,P5 FSC-W Mean,P5 FSC-W Median,P5 FSC-W SD,P5 FSC-W rSD,P5 FSC-W %CV,P5 FSC-W %rCV,P5 FSC-W Mode,P5 FSC-H Min,P5 FSC-H Max,P5 FSC-H Geo Mean,P5 FSC-H Mean,P5 FSC-H Median,P5 FSC-H SD,P5 FSC-H rSD,P5 FSC-H %CV,P5 FSC-H %rCV,P5 FSC-H Mode,P5 SSC-A Min,P5 SSC-A Max,P5 SSC-A Geo Mean,P5 SSC-A Mean,P5 SSC-A Median,P5 SSC-A SD,P5 SSC-A rSD,P5 SSC-A %CV,P5 SSC-A %rCV,P5 SSC-A Mode,P5 CD41 Alexa Fluor 488-A Min,P5 CD41 Alexa Fluor 488-A Max,P5 CD41 Alexa Fluor 488-A Geo Mean,P5 CD41 Alexa Fluor 488-A Mean,P5 CD41 Alexa Fluor 488-A Median,P5 CD41 Alexa Fluor 488-A SD,P5 CD41 Alexa Fluor 488-A rSD,P5 CD41 Alexa Fluor 488-A %CV,P5 CD41 Alexa Fluor 488-A %rCV,P5 CD41 Alexa Fluor 488-A Mode,P5 CD55 PE-A Min,P5 CD55 PE-A Max,P5 CD55 PE-A Geo Mean,P5 CD55 PE-A Mean,P5 CD55 PE-A Median,P5 CD55 PE-A SD,P5 CD55 PE-A rSD,P5 CD55 PE-A %CV,P5 CD55 PE-A %rCV,P5 CD55 PE-A Mode,P5 CD45-2 PE-Texas Red-A Min,P5 CD45-2 PE-Texas Red-A Max,P5 CD45-2 PE-Texas Red-A Geo Mean,P5 CD45-2 PE-Texas Red-A Mean,P5 CD45-2 PE-Texas Red-A Median,P5 CD45-2 PE-Texas Red-A SD,P5 CD45-2 PE-Texas Red-A rSD,P5 CD45-2 PE-Texas Red-A %CV,P5 CD45-2 PE-Texas Red-A %rCV,P5 CD45-2 PE-Texas Red-A Mode,P5 Lineage PE-Cy5-A Min,P5 Lineage PE-Cy5-A Max,P5 Lineage PE-Cy5-A Geo Mean,P5 Lineage PE-Cy5-A Mean,P5 Lineage PE-Cy5-A Median,P5 Lineage PE-Cy5-A SD,P5 Lineage PE-Cy5-A rSD,P5 Lineage PE-Cy5-A %CV,P5 Lineage PE-Cy5-A %rCV,P5 Lineage PE-Cy5-A Mode,P5 PI PerCP-Cy5-5-A Min,P5 PI PerCP-Cy5-5-A Max,P5 PI PerCP-Cy5-5-A Geo Mean,P5 PI PerCP-Cy5-5-A Mean,P5 PI PerCP-Cy5-5-A Median,P5 PI PerCP-Cy5-5-A SD,P5 PI PerCP-Cy5-5-A rSD,P5 PI PerCP-Cy5-5-A %CV,P5 PI PerCP-Cy5-5-A %rCV,P5 PI PerCP-Cy5-5-A Mode,P5 CD105 PE-Cy7-A Min,P5 CD105 PE-Cy7-A Max,P5 CD105 PE-Cy7-A Geo Mean,P5 CD105 PE-Cy7-A Mean,P5 CD105 PE-Cy7-A Median,P5 CD105 PE-Cy7-A SD,P5 CD105 PE-Cy7-A rSD,P5 CD105 PE-Cy7-A %CV,P5 CD105 PE-Cy7-A %rCV,P5 CD105 PE-Cy7-A Mode,P5 CD150 APC-A Min,P5 CD150 APC-A Max,P5 CD150 APC-A Geo Mean,P5 CD150 APC-A Mean,P5 CD150 APC-A Median,P5 CD150 APC-A SD,P5 CD150 APC-A rSD,P5 CD150 APC-A %CV,P5 CD150 APC-A %rCV,P5 CD150 APC-A Mode,P5 FcgR Alexa Fluor 700-A Min,P5 FcgR Alexa Fluor 700-A Max,P5 FcgR Alexa Fluor 700-A Geo Mean,P5 FcgR Alexa Fluor 700-A Mean,P5 FcgR Alexa Fluor 700-A Median,P5 FcgR Alexa Fluor 700-A SD,P5 FcgR Alexa Fluor 700-A rSD,P5 FcgR Alexa Fluor 700-A %CV,P5 FcgR Alexa Fluor 700-A %rCV,P5 FcgR Alexa Fluor 700-A Mode,P5 cKit APC-Cy7-A Min,P5 cKit APC-Cy7-A Max,P5 cKit APC-Cy7-A Geo Mean,P5 cKit APC-Cy7-A Mean,P5 cKit APC-Cy7-A Median,P5 cKit APC-Cy7-A SD,P5 cKit APC-Cy7-A rSD,P5 cKit APC-Cy7-A %CV,P5 cKit APC-Cy7-A %rCV,P5 cKit APC-Cy7-A Mode,P5 Sca1 DAPI-A Min,P5 Sca1 DAPI-A Max,P5 Sca1 DAPI-A Geo Mean,P5 Sca1 DAPI-A Mean,P5 Sca1 DAPI-A Median,P5 Sca1 DAPI-A SD,P5 Sca1 DAPI-A rSD,P5 Sca1 DAPI-A %CV,P5 Sca1 DAPI-A %rCV,P5 Sca1 DAPI-A Mode,P5 CD115 BV605 Qdot 605-A Min,P5 CD115 BV605 Qdot 605-A Max,P5 CD115 BV605 Qdot 605-A Geo Mean,P5 CD115 BV605 Qdot 605-A Mean,P5 CD115 BV605 Qdot 605-A Median,P5 CD115 BV605 Qdot 605-A SD,P5 CD115 BV605 Qdot 605-A rSD,P5 CD115 BV605 Qdot 605-A %CV,P5 CD115 BV605 Qdot 605-A %rCV,P5 CD115 BV605 Qdot 605-A Mode,P5 Time Min,P5 Time Max,P5 Time Geo Mean,P5 Time Mean,P5 Time Median,P5 Time SD,P5 Time rSD,P5 Time %CV,P5 Time %rCV,P5 Time Mode
A1,1,100.0,"205,183","205,183","205,183","205,183","205,183",,0,,0.0,"205,056","101,827","101,827","101,827","101,827","101,827",,0,,0.0,"101,632","132,057","132,057","132,057","132,057","132,057",,0,,0.0,"131,840","153,283","153,283","153,283","153,283","153,283",,0,,0.0,"153,088",132,132,132,132,132,,0,,0.0,130,32,32,32,32,32,,0,,0.0,32,"1,794","1,794","1,794","1,794","1,794",,0,,0.0,"1,787","3,547","3,547","3,547","3,547","3,547",,0,,0.0,"3,538",-121,-121,,-121,-121,,0,,0.0,1,110,110,110,110,110,,0,,0.0,108,-255,-255,,-255,-255,,0,,0.0,1,184,184,184,184,184,,0,,0.0,183,"1,095","1,095","1,095","1,095","1,095",,0,,0.0,"1,084",103,103,103,103,103,,0,,0.0,102,"2,514","2,514","2,514","2,514","2,514",,0,,0.0,"2,484","13,088","13,088","13,088","13,088","13,088",,0,,0.0,"13,056"
A2,1,100.0,"145,228","145,228","145,228","145,228","145,228",,0,,0.0,"145,152","91,287","91,287","91,287","91,287","91,287",,0,,0.0,"91,136","104,261","104,261","104,261","104,261","104,261",,0,,0.0,"104,192","70,634","70,634","70,634","70,634","70,634",,0,,0.0,"70,400",71,71,71,71,71,,0,,0.0,70,1,1,1,1,1,,0,,0.0,1,655,655,655,655,655,,0,,0.0,649,"1,207","1,207","1,207","1,207","1,207",,0,,0.0,"1,195",0,0,,0,0,,0,,0.0,1,109,109,109,109,109,,0,,0.0,108,-55,-55,,-55,-55,,0,,0.0,1,20,20,20,20,20,,0,,0.0,19,909,909,909,909,909,,0,,0.0,903,150,150,150,150,150,,0,,0.0,148,"2,020","2,020","2,020","2,020","2,020",,0,,0.0,"2,019","13,331","13,331","13,331","13,331","13,331",,0,,0.0,"13,312"
A3,1,100.0,"173,943","173,943","173,943","173,943","173,943",,0,,0.0,"173,824","91,742","91,742","91,742","91,742","91,742",,0,,0.0,"91,648","124,257","124,257","124,257","124,257","124,257",,0,,0.0,"124,160","101,989","101,989","101,989","101,989","101,989",,0,,0.0,"101,888",38,38,38,38,38,,0,,0.0,38,"3,742","3,742","3,742","3,742","3,742",,0,,0.0,"3,715","1,456","1,456","1,456","1,456","1,456",,0,,0.0,"1,453","6,531","6,531","6,531","6,531","6,531",,0,,0.0,"6,511",-185,-185,,-185,-185,,0,,0.0,1,"2,682","2,682","2,682","2,682","2,682",,0,,0.0,"2,673",552,552,552,552,552,,0,,0.0,548,197,197,197,197,197,,0,,0.0,197,"3,995","3,995","3,995","3,995","3,995",,0,,0.0,"3,949",73,73,73,73,73,,0,,0.0,71,"3,237","3,237","3,237","3,237","3,237",,0,,0.0,"3,209","13,531","13,531","13,531","13,531","13,531",,0,,0.0,"13,312"
A4,1,100.0,"250,461","250,461","250,461","250,461","250,461",,0,,0.0,"250,368","102,327","102,327","102,327","102,327","102,327",,0,,0.0,"102,144","160,409","160,409","160,409","160,409","160,409",,0,,0.0,"160,256","113,377","113,377","113,377","113,377","113,377",,0,,0.0,"113,152",123,123,123,123,123,,0,,0.0,121,"3,775","3,775","3,775","3,775","3,775",,0,,0.0,"3,761",252,252,252,252,252,,0,,0.0,251,"6,608","6,608","6,608","6,608","6,608",,0,,0.0,"6,591",-18,-18,,-18,-18,,0,,0.0,1,"4,707","4,707","4,707","4,707","4,707",,0,,0.0,"4,684",-123,-123,,-123,-123,,0,,0.0,1,115,115,115,115,115,,0,,0.0,115,674,674,674,674,674,,0,,0.0,674,11,11,11,11,11,,0,,0.0,11,110,110,110,110,110,,0,,0.0,109,"13,721","13,721","13,721","13,721","13,721",,0,,0.0,"13,568"
A5,1,100.0,"148,587","148,587","148,587","148,587","148,587",,0,,0.0,"148,480","90,892","90,892","90,892","90,892","90,892",,0,,0.0,"90,880","107,136","107,136","107,136","107,136","107,136",,0,,0.0,"107,008","51,105","51,105","51,105","51,105","51,105",,0,,0.0,"50,944",-19,-19,,-19,-19,,0,,0.0,1,"1,415","1,415","1,415","1,415","1,415",,0,,0.0,"1,400",777,777,777,777,777,,0,,0.0,770,"1,450","1,450","1,450","1,450","1,450",,0,,0.0,"1,435",-197,-197,,-197,-197,,0,,0.0,1,"1,292","1,292","1,292","1,292","1,292",,0,,0.0,"1,286",39,39,39,39,39,,0,,0.0,38,12,12,12,12,12,,0,,0.0,11,"1,274","1,274","1,274","1,274","1,274",,0,,0.0,"1,270",-6,-6,,-6,-6,,0,,0.0,1,"1,138","1,138","1,138","1,138","1,138",,0,,0.0,"1,124","13,916","13,916","13,916","13,916","13,916",,0,,0.0,"13,824"
A6,1,100.0,"162,766","162,766","162,766","162,766","162,766",,0,,0.0,"162,560","91,796","91,796","91,796","91,796","91,796",,0,,0.0,"91,648","116,204","116,204","116,204","116,204","116,204",,0,,0.0,"115,968","69,023","69,023","69,023","69,023","69,023",,0,,0.0,"68,864",62,62,62,62,62,,0,,0.0,62,-22,-22,,-22,-22,,0,,0.0,1,529,529,529,529,529,,0,,0.0,528,629,629,629,629,629,,0,,0.0,626,56,56,56,56,56,,0,,0.0,56,233,233,233,233,233,,0,,0.0,230,3,3,3,3,3,,0,,0.0,3,468,468,468,468,468,,0,,0.0,462,355,355,355,355,355,,0,,0.0,353,115,115,115,115,115,,0,,0.0,115,"36,218","36,218","36,218","36,218","36,218",,0,,0.0,"35,907","14,109","14,109","14,109","14,109","14,109",,0,,0.0,"14,080"
A7,1,100.0,"154,578","154,578","154,578","154,578","154,578",,0,,0.0,"154,368","90,865","90,865","90,865","90,865","90,865",,0,,0.0,"90,624","111,489","111,489","111,489","111,489","111,489",,0,,0.0,"111,360","60,543","60,543","60,543","60,543","60,543",,0,,0.0,"60,416",173,173,173,173,173,,0,,0.0,172,58,58,58,58,58,,0,,0.0,57,"2,148","2,148","2,148","2,148","2,148",,0,,0.0,"2,146","3,702","3,702","3,702","3,702","3,702",,0,,0.0,"3,670",308,308,308,308,308,,0,,0.0,305,268,268,268,268,268,,0,,0.0,267,-392,-392,,-392,-392,,0,,0.0,1,165,165,165,165,165,,0,,0.0,164,951,951,951,951,951,,0,,0.0,948,-11,-11,,-11,-11,,0,,0.0,1,"1,309","1,309","1,309","1,309","1,309",,0,,0.0,"1,302","14,306","14,306","14,306","14,306","14,306",,0,,0.0,"14,080"
A8,1,100.0,"156,529","156,529","156,529","156,529","156,529",,0,,0.0,"156,416","92,079","92,079","92,079","92,079","92,079",,0,,0.0,"91,904","111,408","111,408","111,408","111,408","111,408",,0,,0.0,"111,360","121,102","121,102","121,102","121,102","121,102",,0,,0.0,"121,088",97,97,97,97,97,,0,,0.0,96,1,1,1,1,1,,0,,0.0,1,543,543,543,543,543,,0,,0.0,541,"4,397","4,397","4,397","4,397","4,397",,0,,0.0,"4,354",-2,-2,,-2,-2,,0,,0.0,1,-1,-1,,-1,-1,,0,,0.0,1,112,112,112,112,112,,0,,0.0,111,366,366,366,366,366,,0,,0.0,362,510,510,510,510,510,,0,,0.0,509,182,182,182,182,182,,0,,0.0,180,"1,908","1,908","1,908","1,908","1,908",,0,,0.0,"1,900","14,498","14,498","14,498","14,498","14,498",,0,,0.0,"14,336"
A9,1,100.0,"196,954","196,954","196,954","196,954","196,954",,0,,0.0,"196,864","97,556","97,556","97,556","97,556","97,556",,0,,0.0,"97,536","132,309","132,309","132,309","132,309","132,309",,0,,0.0,"132,096","100,430","100,430","100,430","100,430","100,430",,0,,0.0,"100,352",74,74,74,74,74,,0,,0.0,72,40,40,40,40,40,,0,,0.0,40,662,662,662,662,662,,0,,0.0,657,"4,947","4,947","4,947","4,947","4,947",,0,,0.0,"4,918",-444,-444,,-444,-444,,0,,0.0,1,27,27,27,27,27,,0,,0.0,27,452,452,452,452,452,,0,,0.0,450,503,503,503,503,503,,0,,0.0,503,549,549,549,549,549,,0,,0.0,548,81,81,81,81,81,,0,,0.0,81,"17,751","17,751","17,751","17,751","17,751",,0,,0.0,"17,700","14,697","14,697","14,696","14,697","14,697",,0,,0.0,"14,592"
A10,1,100.0,"197,858","197,858","197,858","197,858","197,858",,0,,0.0,"197,632","97,030","97,030","97,030","97,030","97,030",,0,,0.0,"97,024","133,637","133,637","133,637","133,637","133,637",,0,,0.0,"133,632","116,034","116,034","116,034","116,034","116,034",,0,,0.0,"115,968",185,185,185,185,185,,0,,0.0,183,178,178,178,178,178,,0,,0.0,176,"1,940","1,940","1,940","1,940","1,940",,0,,0.0,"1,923","5,977","5,977","5,977","5,977","5,977",,0,,0.0,"5,906",-599,-599,,-599,-599,,0,,0.0,1,45,45,45,45,45,,0,,0.0,45,-264,-264,,-264,-264,,0,,0.0,1,194,194,194,194,194,,0,,0.0,192,"1,143","1,143","1,143","1,143","1,143",,0,,0.0,"1,138",180,180,180,180,180,,0,,0.0,178,"1,352","1,352","1,352","1,352","1,352",,0,,0.0,"1,350","14,889","14,889","14,889","14,889","14,889",,0,,0.0,"14,848"
