Experiment Name,141120BE56d10sort
Specimen Name,Specimen_001
Tube Name,INX_sampleAWE_005
Record Date,"Nov 20, 2014 7:59:42 PM"
$OP,CarolineGuibentif 
GUID,b80206b2-8d56-466e-9460-b3b1a7ed5660 
Date Analyzed,12/09/2014 18:10

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,Carolina96wells141120
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P4 #Events,P4 %Parent,P4 FSC-A Min,P4 FSC-A Max,P4 FSC-A Geo Mean,P4 FSC-A Mean,P4 FSC-A Median,P4 FSC-A SD,P4 FSC-A rSD,P4 FSC-A %CV,P4 FSC-A %rCV,P4 FSC-A Mode,P4 FSC-W Min,P4 FSC-W Max,P4 FSC-W Geo Mean,P4 FSC-W Mean,P4 FSC-W Median,P4 FSC-W SD,P4 FSC-W rSD,P4 FSC-W %CV,P4 FSC-W %rCV,P4 FSC-W Mode,P4 FSC-H Min,P4 FSC-H Max,P4 FSC-H Geo Mean,P4 FSC-H Mean,P4 FSC-H Median,P4 FSC-H SD,P4 FSC-H rSD,P4 FSC-H %CV,P4 FSC-H %rCV,P4 FSC-H Mode,P4 SSC-A Min,P4 SSC-A Max,P4 SSC-A Geo Mean,P4 SSC-A Mean,P4 SSC-A Median,P4 SSC-A SD,P4 SSC-A rSD,P4 SSC-A %CV,P4 SSC-A %rCV,P4 SSC-A Mode,P4 SSC-W Min,P4 SSC-W Max,P4 SSC-W Geo Mean,P4 SSC-W Mean,P4 SSC-W Median,P4 SSC-W SD,P4 SSC-W rSD,P4 SSC-W %CV,P4 SSC-W %rCV,P4 SSC-W Mode,P4 SSC-H Min,P4 SSC-H Max,P4 SSC-H Geo Mean,P4 SSC-H Mean,P4 SSC-H Median,P4 SSC-H SD,P4 SSC-H rSD,P4 SSC-H %CV,P4 SSC-H %rCV,P4 SSC-H Mode,P4 GFP FITC-A Min,P4 GFP FITC-A Max,P4 GFP FITC-A Geo Mean,P4 GFP FITC-A Mean,P4 GFP FITC-A Median,P4 GFP FITC-A SD,P4 GFP FITC-A rSD,P4 GFP FITC-A %CV,P4 GFP FITC-A %rCV,P4 GFP FITC-A Mode,P4 CD73 PE-A Min,P4 CD73 PE-A Max,P4 CD73 PE-A Geo Mean,P4 CD73 PE-A Mean,P4 CD73 PE-A Median,P4 CD73 PE-A SD,P4 CD73 PE-A rSD,P4 CD73 PE-A %CV,P4 CD73 PE-A %rCV,P4 CD73 PE-A Mode,P4 7AAD PE-Cy5-A Min,P4 7AAD PE-Cy5-A Max,P4 7AAD PE-Cy5-A Geo Mean,P4 7AAD PE-Cy5-A Mean,P4 7AAD PE-Cy5-A Median,P4 7AAD PE-Cy5-A SD,P4 7AAD PE-Cy5-A rSD,P4 7AAD PE-Cy5-A %CV,P4 7AAD PE-Cy5-A %rCV,P4 7AAD PE-Cy5-A Mode,P4 CD49f PE-Cy7-A Min,P4 CD49f PE-Cy7-A Max,P4 CD49f PE-Cy7-A Geo Mean,P4 CD49f PE-Cy7-A Mean,P4 CD49f PE-Cy7-A Median,P4 CD49f PE-Cy7-A SD,P4 CD49f PE-Cy7-A rSD,P4 CD49f PE-Cy7-A %CV,P4 CD49f PE-Cy7-A %rCV,P4 CD49f PE-Cy7-A Mode,P4 CD34 APC-A Min,P4 CD34 APC-A Max,P4 CD34 APC-A Geo Mean,P4 CD34 APC-A Mean,P4 CD34 APC-A Median,P4 CD34 APC-A SD,P4 CD34 APC-A rSD,P4 CD34 APC-A %CV,P4 CD34 APC-A %rCV,P4 CD34 APC-A Mode,P4 CD45 Alexa Fluor 700-A Min,P4 CD45 Alexa Fluor 700-A Max,P4 CD45 Alexa Fluor 700-A Geo Mean,P4 CD45 Alexa Fluor 700-A Mean,P4 CD45 Alexa Fluor 700-A Median,P4 CD45 Alexa Fluor 700-A SD,P4 CD45 Alexa Fluor 700-A rSD,P4 CD45 Alexa Fluor 700-A %CV,P4 CD45 Alexa Fluor 700-A %rCV,P4 CD45 Alexa Fluor 700-A Mode,P4 CD43 APC-Cy7-A Min,P4 CD43 APC-Cy7-A Max,P4 CD43 APC-Cy7-A Geo Mean,P4 CD43 APC-Cy7-A Mean,P4 CD43 APC-Cy7-A Median,P4 CD43 APC-Cy7-A SD,P4 CD43 APC-Cy7-A rSD,P4 CD43 APC-Cy7-A %CV,P4 CD43 APC-Cy7-A %rCV,P4 CD43 APC-Cy7-A Mode,P4 CXCR4 Pacific Blue-A Min,P4 CXCR4 Pacific Blue-A Max,P4 CXCR4 Pacific Blue-A Geo Mean,P4 CXCR4 Pacific Blue-A Mean,P4 CXCR4 Pacific Blue-A Median,P4 CXCR4 Pacific Blue-A SD,P4 CXCR4 Pacific Blue-A rSD,P4 CXCR4 Pacific Blue-A %CV,P4 CXCR4 Pacific Blue-A %rCV,P4 CXCR4 Pacific Blue-A Mode,P4 CD90 Qdot 605-A Min,P4 CD90 Qdot 605-A Max,P4 CD90 Qdot 605-A Geo Mean,P4 CD90 Qdot 605-A Mean,P4 CD90 Qdot 605-A Median,P4 CD90 Qdot 605-A SD,P4 CD90 Qdot 605-A rSD,P4 CD90 Qdot 605-A %CV,P4 CD90 Qdot 605-A %rCV,P4 CD90 Qdot 605-A Mode,P4 Time Min,P4 Time Max,P4 Time Geo Mean,P4 Time Mean,P4 Time Median,P4 Time SD,P4 Time rSD,P4 Time %CV,P4 Time %rCV,P4 Time Mode
A1,1,100.0,"82,204","82,204","82,204","82,204","82,204",,0,,0.0,"82,176","107,878","107,878","107,878","107,878","107,878",,0,,0.0,"107,776","49,939","49,939","49,939","49,939","49,939",,0,,0.0,"49,920","38,830","38,830","38,830","38,830","38,830",,0,,0.0,"38,656","93,626","93,626","93,626","93,626","93,626",,0,,0.0,"93,440","27,180","27,180","27,180","27,180","27,180",,0,,0.0,"27,136","1,367","1,367","1,367","1,367","1,367",,0,,0.0,"1,350","10,836","10,836","10,836","10,836","10,836",,0,,0.0,"10,735",141,141,141,141,141,,0,,0.0,140,-61,-61,,-61,-61,,0,,0.0,1,"59,654","59,654","59,654","59,654","59,654",,0,,0.0,"59,202",674,674,674,674,674,,0,,0.0,666,"-1,153","-1,153",,"-1,153","-1,153",,0,,0.0,1,247,247,247,247,247,,0,,0.0,245,"41,096","41,096","41,096","41,096","41,096",,0,,0.0,"41,062","2,491","2,491","2,491","2,491","2,491",,0,,0.0,"2,304"
A2,1,100.0,"117,605","117,605","117,605","117,605","117,605",,0,,0.0,"117,504","115,945","115,945","115,945","115,945","115,945",,0,,0.0,"115,712","66,474","66,474","66,474","66,474","66,474",,0,,0.0,"66,304","43,206","43,206","43,206","43,206","43,206",,0,,0.0,"43,008","103,113","103,113","103,113","103,113","103,113",,0,,0.0,"102,912","27,461","27,461","27,461","27,461","27,461",,0,,0.0,"27,392",934,934,934,934,934,,0,,0.0,925,"1,195","1,195","1,195","1,195","1,195",,0,,0.0,"1,181",97,97,97,97,97,,0,,0.0,96,"1,886","1,886","1,886","1,886","1,886",,0,,0.0,"1,877","13,194","13,194","13,194","13,194","13,194",,0,,0.0,"13,048",-997,-997,,-997,-997,,0,,0.0,1,687,687,687,687,687,,0,,0.0,682,107,107,107,107,107,,0,,0.0,107,188,188,188,188,188,,0,,0.0,185,"2,720","2,720","2,720","2,720","2,720",,0,,0.0,"2,560"
A3,1,100.0,"95,083","95,083","95,083","95,083","95,083",,0,,0.0,"94,976","115,022","115,022","115,022","115,022","115,022",,0,,0.0,"114,944","54,175","54,175","54,175","54,175","54,175",,0,,0.0,"54,016","28,857","28,857","28,857","28,857","28,857",,0,,0.0,"28,672","109,874","109,874","109,874","109,874","109,874",,0,,0.0,"109,824","17,212","17,212","17,212","17,212","17,212",,0,,0.0,"17,152",613,613,613,613,613,,0,,0.0,611,169,169,169,169,169,,0,,0.0,168,143,143,143,143,143,,0,,0.0,141,81,81,81,81,81,,0,,0.0,80,"36,785","36,785","36,785","36,785","36,785",,0,,0.0,"36,347",-534,-534,,-534,-534,,0,,0.0,1,-369,-369,,-369,-369,,0,,0.0,1,291,291,291,291,291,,0,,0.0,287,"16,617","16,617","16,617","16,617","16,617",,0,,0.0,"16,451","3,102","3,102","3,102","3,102","3,102",,0,,0.0,"3,072"
A4,1,100.0,"88,613","88,613","88,613","88,613","88,613",,0,,0.0,"88,576","107,188","107,188","107,188","107,188","107,188",,0,,0.0,"107,008","54,179","54,179","54,179","54,179","54,179",,0,,0.0,"54,016","38,049","38,049","38,049","38,049","38,049",,0,,0.0,"37,888","94,101","94,101","94,101","94,101","94,101",,0,,0.0,"93,952","26,499","26,499","26,499","26,499","26,499",,0,,0.0,"26,368",791,791,791,791,791,,0,,0.0,789,479,479,479,479,479,,0,,0.0,479,26,26,26,26,26,,0,,0.0,25,11,11,11,11,11,,0,,0.0,10,"25,187","25,187","25,187","25,187","25,187",,0,,0.0,"24,904",911,911,911,911,911,,0,,0.0,903,-506,-506,,-506,-506,,0,,0.0,1,308,308,308,308,308,,0,,0.0,305,"25,675","25,675","25,675","25,675","25,675",,0,,0.0,"25,519","3,504","3,504","3,504","3,504","3,504",,0,,0.0,"3,328"
A5,1,100.0,"76,511","76,511","76,511","76,511","76,511",,0,,0.0,"76,288","93,245","93,245","93,245","93,245","93,245",,0,,0.0,"93,184","53,775","53,775","53,775","53,775","53,775",,0,,0.0,"53,760","30,006","30,006","30,006","30,006","30,006",,0,,0.0,"29,952","85,540","85,540","85,540","85,540","85,540",,0,,0.0,"85,504","22,989","22,989","22,989","22,989","22,989",,0,,0.0,"22,784","1,662","1,662","1,662","1,662","1,662",,0,,0.0,"1,661","8,505","8,505","8,505","8,505","8,505",,0,,0.0,"8,411",175,175,175,175,175,,0,,0.0,174,-90,-90,,-90,-90,,0,,0.0,1,"87,424","87,424","87,424","87,424","87,424",,0,,0.0,"86,405","1,690","1,690","1,690","1,690","1,690",,0,,0.0,"1,682",-349,-349,,-349,-349,,0,,0.0,1,"1,587","1,587","1,587","1,587","1,587",,0,,0.0,"1,582","17,844","17,844","17,844","17,844","17,844",,0,,0.0,"17,700","3,745","3,745","3,745","3,745","3,745",,0,,0.0,"3,584"
A6,1,100.0,"63,661","63,661","63,661","63,661","63,661",,0,,0.0,"63,488","88,162","88,162","88,162","88,162","88,162",,0,,0.0,"88,064","47,323","47,323","47,323","47,323","47,323",,0,,0.0,"47,104","29,526","29,526","29,526","29,526","29,526",,0,,0.0,"29,440","81,890","81,890","81,890","81,890","81,890",,0,,0.0,"81,664","23,629","23,629","23,629","23,629","23,629",,0,,0.0,"23,552",925,925,925,925,925,,0,,0.0,914,819,819,819,819,819,,0,,0.0,819,-151,-151,,-151,-151,,0,,0.0,1,9,9,9,9,9,,0,,0.0,9,"10,335","10,335","10,335","10,335","10,335",,0,,0.0,"10,224",47,47,47,47,47,,0,,0.0,47,96,96,96,96,96,,0,,0.0,95,-7,-7,,-7,-7,,0,,0.0,1,"8,560","8,560","8,560","8,560","8,560",,0,,0.0,"8,515","4,382","4,382","4,382","4,382","4,382",,0,,0.0,"4,352"
A7,1,100.0,"94,571","94,571","94,571","94,571","94,571",,0,,0.0,"94,464","105,660","105,660","105,660","105,660","105,660",,0,,0.0,"105,472","58,658","58,658","58,658","58,658","58,658",,0,,0.0,"58,624","37,250","37,250","37,250","37,250","37,250",,0,,0.0,"37,120","94,472","94,472","94,472","94,472","94,472",,0,,0.0,"94,464","25,841","25,841","25,841","25,841","25,841",,0,,0.0,"25,600","1,074","1,074","1,074","1,074","1,074",,0,,0.0,"1,071",93,93,93,93,93,,0,,0.0,92,67,67,67,67,67,,0,,0.0,66,643,643,643,643,643,,0,,0.0,642,"4,431","4,431","4,431","4,431","4,431",,0,,0.0,"4,407",-247,-247,,-247,-247,,0,,0.0,1,-132,-132,,-132,-132,,0,,0.0,1,"1,293","1,293","1,293","1,293","1,293",,0,,0.0,"1,286",242,242,242,242,242,,0,,0.0,239,"4,862","4,862","4,862","4,862","4,862",,0,,0.0,"4,608"
A8,1,100.0,"92,261","92,261","92,261","92,261","92,261",,0,,0.0,"92,160","107,439","107,439","107,439","107,439","107,439",,0,,0.0,"107,264","56,278","56,278","56,278","56,278","56,278",,0,,0.0,"56,064","30,435","30,435","30,435","30,435","30,435",,0,,0.0,"30,208","98,582","98,582","98,582","98,582","98,582",,0,,0.0,"98,560","20,233","20,233","20,233","20,233","20,233",,0,,0.0,"20,224",421,421,421,421,421,,0,,0.0,419,"2,691","2,691","2,691","2,691","2,691",,0,,0.0,"2,673",-738,-738,,-738,-738,,0,,0.0,1,180,180,180,180,180,,0,,0.0,178,"23,024","23,024","23,024","23,024","23,024",,0,,0.0,"22,866",20,20,20,20,20,,0,,0.0,19,"1,319","1,319","1,319","1,319","1,319",,0,,0.0,"1,318","1,075","1,075","1,075","1,075","1,075",,0,,0.0,"1,071","36,283","36,283","36,283","36,283","36,283",,0,,0.0,"35,907","5,211","5,211","5,211","5,211","5,211",,0,,0.0,"5,120"
A9,1,100.0,"113,272","113,272","113,272","113,272","113,272",,0,,0.0,"113,152","125,306","125,306","125,306","125,306","125,306",,0,,0.0,"125,184","59,242","59,242","59,242","59,242","59,242",,0,,0.0,"59,136","35,595","35,595","35,595","35,595","35,595",,0,,0.0,"35,584","93,136","93,136","93,136","93,136","93,136",,0,,0.0,"92,928","25,047","25,047","25,047","25,047","25,047",,0,,0.0,"24,832","2,811","2,811","2,811","2,811","2,811",,0,,0.0,"2,806","7,733","7,733","7,733","7,733","7,733",,0,,0.0,"7,723",-618,-618,,-618,-618,,0,,0.0,1,-247,-247,,-247,-247,,0,,0.0,1,"71,763","71,763","71,763","71,763","71,763",,0,,0.0,"71,087",-989,-989,,-989,-989,,0,,0.0,1,-548,-548,,-548,-548,,0,,0.0,1,42,42,42,42,42,,0,,0.0,42,"29,964","29,964","29,964","29,964","29,964",,0,,0.0,"29,904","5,674","5,674","5,674","5,674","5,674",,0,,0.0,"5,632"
A10,1,100.0,"102,305","102,305","102,305","102,305","102,305",,0,,0.0,"102,144","109,572","109,572","109,572","109,572","109,572",,0,,0.0,"109,568","61,190","61,190","61,190","61,190","61,190",,0,,0.0,"61,184","50,053","50,053","50,053","50,053","50,053",,0,,0.0,"49,920","93,822","93,822","93,822","93,822","93,822",,0,,0.0,"93,696","34,963","34,963","34,963","34,963","34,963",,0,,0.0,"34,816","2,086","2,086","2,086","2,086","2,086",,0,,0.0,"2,069","87,833","87,833","87,833","87,833","87,833",,0,,0.0,"87,465",141,141,141,141,141,,0,,0.0,140,-223,-223,,-223,-223,,0,,0.0,1,"195,266","195,266","195,266","195,266","195,266",,0,,0.0,"193,250","-1,328","-1,328",,"-1,328","-1,328",,0,,0.0,1,-243,-243,,-243,-243,,0,,0.0,1,536,536,536,536,536,,0,,0.0,534,"58,811","58,811","58,811","58,811","58,811",,0,,0.0,"58,485","6,387","6,387","6,387","6,387","6,387",,0,,0.0,"6,144"
