Experiment Name,141120BE56d10sort
Specimen Name,Specimen_001
Tube Name,INX_sampleAWE_006
Record Date,"Nov 20, 2014 7:59:42 PM"
$OP,CarolineGuibentif 
GUID,b80206b2-8d56-466e-9460-b3b1a7ed5660 
Date Analyzed,12/09/2014 18:09

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,Carolina96wells141120
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P4 #Events,P4 %Parent,P4 FSC-A Min,P4 FSC-A Max,P4 FSC-A Geo Mean,P4 FSC-A Mean,P4 FSC-A Median,P4 FSC-A SD,P4 FSC-A rSD,P4 FSC-A %CV,P4 FSC-A %rCV,P4 FSC-A Mode,P4 FSC-W Min,P4 FSC-W Max,P4 FSC-W Geo Mean,P4 FSC-W Mean,P4 FSC-W Median,P4 FSC-W SD,P4 FSC-W rSD,P4 FSC-W %CV,P4 FSC-W %rCV,P4 FSC-W Mode,P4 FSC-H Min,P4 FSC-H Max,P4 FSC-H Geo Mean,P4 FSC-H Mean,P4 FSC-H Median,P4 FSC-H SD,P4 FSC-H rSD,P4 FSC-H %CV,P4 FSC-H %rCV,P4 FSC-H Mode,P4 SSC-A Min,P4 SSC-A Max,P4 SSC-A Geo Mean,P4 SSC-A Mean,P4 SSC-A Median,P4 SSC-A SD,P4 SSC-A rSD,P4 SSC-A %CV,P4 SSC-A %rCV,P4 SSC-A Mode,P4 SSC-W Min,P4 SSC-W Max,P4 SSC-W Geo Mean,P4 SSC-W Mean,P4 SSC-W Median,P4 SSC-W SD,P4 SSC-W rSD,P4 SSC-W %CV,P4 SSC-W %rCV,P4 SSC-W Mode,P4 SSC-H Min,P4 SSC-H Max,P4 SSC-H Geo Mean,P4 SSC-H Mean,P4 SSC-H Median,P4 SSC-H SD,P4 SSC-H rSD,P4 SSC-H %CV,P4 SSC-H %rCV,P4 SSC-H Mode,P4 GFP FITC-A Min,P4 GFP FITC-A Max,P4 GFP FITC-A Geo Mean,P4 GFP FITC-A Mean,P4 GFP FITC-A Median,P4 GFP FITC-A SD,P4 GFP FITC-A rSD,P4 GFP FITC-A %CV,P4 GFP FITC-A %rCV,P4 GFP FITC-A Mode,P4 CD73 PE-A Min,P4 CD73 PE-A Max,P4 CD73 PE-A Geo Mean,P4 CD73 PE-A Mean,P4 CD73 PE-A Median,P4 CD73 PE-A SD,P4 CD73 PE-A rSD,P4 CD73 PE-A %CV,P4 CD73 PE-A %rCV,P4 CD73 PE-A Mode,P4 7AAD PE-Cy5-A Min,P4 7AAD PE-Cy5-A Max,P4 7AAD PE-Cy5-A Geo Mean,P4 7AAD PE-Cy5-A Mean,P4 7AAD PE-Cy5-A Median,P4 7AAD PE-Cy5-A SD,P4 7AAD PE-Cy5-A rSD,P4 7AAD PE-Cy5-A %CV,P4 7AAD PE-Cy5-A %rCV,P4 7AAD PE-Cy5-A Mode,P4 CD49f PE-Cy7-A Min,P4 CD49f PE-Cy7-A Max,P4 CD49f PE-Cy7-A Geo Mean,P4 CD49f PE-Cy7-A Mean,P4 CD49f PE-Cy7-A Median,P4 CD49f PE-Cy7-A SD,P4 CD49f PE-Cy7-A rSD,P4 CD49f PE-Cy7-A %CV,P4 CD49f PE-Cy7-A %rCV,P4 CD49f PE-Cy7-A Mode,P4 CD34 APC-A Min,P4 CD34 APC-A Max,P4 CD34 APC-A Geo Mean,P4 CD34 APC-A Mean,P4 CD34 APC-A Median,P4 CD34 APC-A SD,P4 CD34 APC-A rSD,P4 CD34 APC-A %CV,P4 CD34 APC-A %rCV,P4 CD34 APC-A Mode,P4 CD45 Alexa Fluor 700-A Min,P4 CD45 Alexa Fluor 700-A Max,P4 CD45 Alexa Fluor 700-A Geo Mean,P4 CD45 Alexa Fluor 700-A Mean,P4 CD45 Alexa Fluor 700-A Median,P4 CD45 Alexa Fluor 700-A SD,P4 CD45 Alexa Fluor 700-A rSD,P4 CD45 Alexa Fluor 700-A %CV,P4 CD45 Alexa Fluor 700-A %rCV,P4 CD45 Alexa Fluor 700-A Mode,P4 CD43 APC-Cy7-A Min,P4 CD43 APC-Cy7-A Max,P4 CD43 APC-Cy7-A Geo Mean,P4 CD43 APC-Cy7-A Mean,P4 CD43 APC-Cy7-A Median,P4 CD43 APC-Cy7-A SD,P4 CD43 APC-Cy7-A rSD,P4 CD43 APC-Cy7-A %CV,P4 CD43 APC-Cy7-A %rCV,P4 CD43 APC-Cy7-A Mode,P4 CXCR4 Pacific Blue-A Min,P4 CXCR4 Pacific Blue-A Max,P4 CXCR4 Pacific Blue-A Geo Mean,P4 CXCR4 Pacific Blue-A Mean,P4 CXCR4 Pacific Blue-A Median,P4 CXCR4 Pacific Blue-A SD,P4 CXCR4 Pacific Blue-A rSD,P4 CXCR4 Pacific Blue-A %CV,P4 CXCR4 Pacific Blue-A %rCV,P4 CXCR4 Pacific Blue-A Mode,P4 CD90 Qdot 605-A Min,P4 CD90 Qdot 605-A Max,P4 CD90 Qdot 605-A Geo Mean,P4 CD90 Qdot 605-A Mean,P4 CD90 Qdot 605-A Median,P4 CD90 Qdot 605-A SD,P4 CD90 Qdot 605-A rSD,P4 CD90 Qdot 605-A %CV,P4 CD90 Qdot 605-A %rCV,P4 CD90 Qdot 605-A Mode,P4 Time Min,P4 Time Max,P4 Time Geo Mean,P4 Time Mean,P4 Time Median,P4 Time SD,P4 Time rSD,P4 Time %CV,P4 Time %rCV,P4 Time Mode
E2,1,100.0,"118,597","118,597","118,597","118,597","118,597",,0,,0.0,"118,528","141,157","141,157","141,157","141,157","141,157",,0,,0.0,"141,056","55,062","55,062","55,062","55,062","55,062",,0,,0.0,"55,040","55,000","55,000","55,000","55,000","55,000",,0,,0.0,"54,784","111,387","111,387","111,387","111,387","111,387",,0,,0.0,"111,360","32,360","32,360","32,360","32,360","32,360",,0,,0.0,"32,256","10,286","10,286","10,286","10,286","10,286",,0,,0.0,"10,224",-740,-740,,-740,-740,,0,,0.0,1,-609,-609,,-609,-609,,0,,0.0,1,-2,-2,,-2,-2,,0,,0.0,1,"4,308","4,308","4,308","4,308","4,308",,0,,0.0,"4,301",-537,-537,,-537,-537,,0,,0.0,1,"5,332","5,332","5,332","5,332","5,332",,0,,0.0,"5,292",-927,-927,,-927,-927,,0,,0.0,1,"2,743","2,743","2,743","2,743","2,743",,0,,0.0,"2,739","1,233","1,233","1,233","1,233","1,233",,0,,0.0,"1,024"
E3,1,100.0,"98,056","98,056","98,056","98,056","98,056",,0,,0.0,"98,048","116,434","116,434","116,434","116,434","116,434",,0,,0.0,"116,224","55,192","55,192","55,192","55,192","55,192",,0,,0.0,"55,040","44,508","44,508","44,508","44,508","44,508",,0,,0.0,"44,288","99,644","99,644","99,644","99,644","99,644",,0,,0.0,"99,584","29,273","29,273","29,273","29,273","29,273",,0,,0.0,"29,184","13,033","13,033","13,033","13,033","13,033",,0,,0.0,"12,890","-1,054","-1,054",,"-1,054","-1,054",,0,,0.0,1,-490,-490,,-490,-490,,0,,0.0,1,292,292,292,292,292,,0,,0.0,290,"21,244","21,244","21,244","21,244","21,244",,0,,0.0,"20,995","-2,226","-2,226",,"-2,226","-2,226",,0,,0.0,1,"58,238","58,238","58,238","58,238","58,238",,0,,0.0,"57,776",-978,-978,,-978,-978,,0,,0.0,1,-223,-223,,-223,-223,,0,,0.0,1,"1,518","1,518","1,518","1,518","1,518",,0,,0.0,"1,280"
E4,1,100.0,"93,248","93,248","93,248","93,248","93,248",,0,,0.0,"93,184","116,664","116,664","116,664","116,664","116,664",,0,,0.0,"116,480","52,382","52,382","52,382","52,382","52,382",,0,,0.0,"52,224","39,320","39,320","39,320","39,320","39,320",,0,,0.0,"39,168","112,980","112,980","112,980","112,980","112,980",,0,,0.0,"112,896","22,808","22,808","22,808","22,808","22,808",,0,,0.0,"22,784","9,542","9,542","9,542","9,542","9,542",,0,,0.0,"9,502",-833,-833,,-833,-833,,0,,0.0,1,-532,-532,,-532,-532,,0,,0.0,1,482,482,482,482,482,,0,,0.0,479,"17,987","17,987","17,987","17,987","17,987",,0,,0.0,"17,917",-947,-947,,-947,-947,,0,,0.0,1,"49,534","49,534","49,534","49,534","49,534",,0,,0.0,"49,305",-737,-737,,-737,-737,,0,,0.0,1,"-2,240","-2,240",,"-2,240","-2,240",,0,,0.0,1,"1,919","1,919","1,919","1,919","1,919",,0,,0.0,"1,792"
E5,1,100.0,"92,678","92,678","92,678","92,678","92,678",,0,,0.0,"92,672","117,242","117,242","117,242","117,242","117,242",,0,,0.0,"116,992","51,805","51,805","51,805","51,805","51,805",,0,,0.0,"51,712","34,931","34,931","34,931","34,931","34,931",,0,,0.0,"34,816","97,480","97,480","97,479","97,480","97,480",,0,,0.0,"97,280","23,484","23,484","23,484","23,484","23,484",,0,,0.0,"23,296","1,397","1,397","1,397","1,397","1,397",,0,,0.0,"1,383",180,180,180,180,180,,0,,0.0,178,-533,-533,,-533,-533,,0,,0.0,1,7,7,7,7,7,,0,,0.0,7,"35,390","35,390","35,390","35,390","35,390",,0,,0.0,"35,041",-276,-276,,-276,-276,,0,,0.0,1,"17,486","17,486","17,486","17,486","17,486",,0,,0.0,"17,485",372,372,372,372,372,,0,,0.0,371,"15,161","15,161","15,161","15,161","15,161",,0,,0.0,"15,105","2,362","2,362","2,362","2,362","2,362",,0,,0.0,"2,304"
E6,1,100.0,"80,873","80,873","80,873","80,873","80,873",,0,,0.0,"80,640","97,629","97,629","97,629","97,629","97,629",,0,,0.0,"97,536","54,288","54,288","54,288","54,288","54,288",,0,,0.0,"54,272","23,606","23,606","23,606","23,606","23,606",,0,,0.0,"23,552","87,483","87,483","87,483","87,483","87,483",,0,,0.0,"87,296","17,684","17,684","17,684","17,684","17,684",,0,,0.0,"17,664","1,320","1,320","1,320","1,320","1,320",,0,,0.0,"1,318",116,116,116,116,116,,0,,0.0,115,222,222,222,222,222,,0,,0.0,219,1,1,1,1,1,,0,,0.0,1,"8,103","8,103","8,103","8,103","8,103",,0,,0.0,"8,011",469,469,469,469,469,,0,,0.0,467,"4,846","4,846","4,846","4,846","4,846",,0,,0.0,"4,800",-64,-64,,-64,-64,,0,,0.0,1,460,460,460,460,460,,0,,0.0,456,"2,678","2,678","2,678","2,678","2,678",,0,,0.0,"2,560"
E7,1,100.0,"85,180","85,180","85,180","85,180","85,180",,0,,0.0,"84,992","107,779","107,779","107,779","107,779","107,779",,0,,0.0,"107,776","51,794","51,794","51,794","51,794","51,794",,0,,0.0,"51,712","27,218","27,218","27,218","27,218","27,218",,0,,0.0,"27,136","88,061","88,061","88,061","88,061","88,061",,0,,0.0,"87,808","20,256","20,256","20,256","20,256","20,256",,0,,0.0,"20,224",754,754,754,754,754,,0,,0.0,752,45,45,45,45,45,,0,,0.0,44,279,279,279,279,279,,0,,0.0,277,108,108,108,108,108,,0,,0.0,107,"9,563","9,563","9,563","9,563","9,563",,0,,0.0,"9,502","-1,439","-1,439",,"-1,439","-1,439",,0,,0.0,1,"11,757","11,757","11,757","11,757","11,757",,0,,0.0,"11,692",31,31,31,31,31,,0,,0.0,31,"1,132","1,132","1,132","1,132","1,132",,0,,0.0,"1,124","3,059","3,059","3,059","3,059","3,059",,0,,0.0,"2,816"
E8,1,100.0,"102,500","102,500","102,500","102,500","102,500",,0,,0.0,"102,400","127,890","127,890","127,890","127,890","127,890",,0,,0.0,"127,744","52,525","52,525","52,525","52,525","52,525",,0,,0.0,"52,480","46,573","46,573","46,573","46,573","46,573",,0,,0.0,"46,336","102,269","102,269","102,269","102,269","102,269",,0,,0.0,"102,144","29,845","29,845","29,845","29,845","29,845",,0,,0.0,"29,696","5,205","5,205","5,205","5,205","5,205",,0,,0.0,"5,164",-246,-246,,-246,-246,,0,,0.0,1,-436,-436,,-436,-436,,0,,0.0,1,-6,-6,,-6,-6,,0,,0.0,1,"5,143","5,143","5,143","5,143","5,143",,0,,0.0,"5,102",-502,-502,,-502,-502,,0,,0.0,1,"30,860","30,860","30,860","30,860","30,860",,0,,0.0,"30,642",-402,-402,,-402,-402,,0,,0.0,1,"-1,438","-1,438",,"-1,438","-1,438",,0,,0.0,1,"3,322","3,322","3,322","3,322","3,322",,0,,0.0,"3,072"
E9,1,100.0,"98,620","98,620","98,620","98,620","98,620",,0,,0.0,"98,560","106,122","106,122","106,122","106,122","106,122",,0,,0.0,"105,984","60,903","60,903","60,903","60,903","60,903",,0,,0.0,"60,672","28,396","28,396","28,396","28,396","28,396",,0,,0.0,"28,160","91,165","91,165","91,165","91,165","91,165",,0,,0.0,"91,136","20,413","20,413","20,413","20,413","20,413",,0,,0.0,"20,224","10,299","10,299","10,299","10,299","10,299",,0,,0.0,"10,224",-811,-811,,-811,-811,,0,,0.0,1,-969,-969,,-969,-969,,0,,0.0,1,185,185,185,185,185,,0,,0.0,183,"9,586","9,586","9,586","9,586","9,586",,0,,0.0,"9,502",46,46,46,46,46,,0,,0.0,45,"37,314","37,314","37,314","37,314","37,314",,0,,0.0,"37,245",-918,-918,,-918,-918,,0,,0.0,1,"-2,635","-2,635",,"-2,635","-2,635",,0,,0.0,1,"3,650","3,650","3,650","3,650","3,650",,0,,0.0,"3,584"
E10,1,100.0,"101,195","101,195","101,195","101,195","101,195",,0,,0.0,"101,120","129,900","129,900","129,900","129,900","129,900",,0,,0.0,"129,792","51,054","51,054","51,054","51,054","51,054",,0,,0.0,"50,944","54,341","54,341","54,341","54,341","54,341",,0,,0.0,"54,272","116,184","116,184","116,184","116,184","116,184",,0,,0.0,"115,968","30,652","30,652","30,652","30,652","30,652",,0,,0.0,"30,464","38,875","38,875","38,875","38,875","38,875",,0,,0.0,"38,633","-3,477","-3,477",,"-3,477","-3,477",,0,,0.0,1,"-3,191","-3,191",,"-3,191","-3,191",,0,,0.0,1,203,203,203,203,203,,0,,0.0,201,"11,195","11,195","11,195","11,195","11,195",,0,,0.0,"11,135","-1,913","-1,913",,"-1,913","-1,913",,0,,0.0,1,"83,047","83,047","83,047","83,047","83,047",,0,,0.0,"82,291","-3,584","-3,584",,"-3,584","-3,584",,0,,0.0,1,"-7,921","-7,921",,"-7,921","-7,921",,0,,0.0,1,"3,913","3,913","3,913","3,913","3,913",,0,,0.0,"3,840"
E11,1,100.0,"104,944","104,944","104,944","104,944","104,944",,0,,0.0,"104,704","126,079","126,079","126,079","126,079","126,079",,0,,0.0,"125,952","54,550","54,550","54,550","54,550","54,550",,0,,0.0,"54,528","37,534","37,534","37,534","37,534","37,534",,0,,0.0,"37,376","97,339","97,339","97,339","97,339","97,339",,0,,0.0,"97,280","25,271","25,271","25,271","25,271","25,271",,0,,0.0,"25,088","11,782","11,782","11,782","11,782","11,782",,0,,0.0,"11,692","-1,107","-1,107",,"-1,107","-1,107",,0,,0.0,1,"-1,080","-1,080",,"-1,080","-1,080",,0,,0.0,1,98,98,98,98,98,,0,,0.0,97,"13,869","13,869","13,869","13,869","13,869",,0,,0.0,"13,869","-1,065","-1,065",,"-1,065","-1,065",,0,,0.0,1,"36,827","36,827","36,827","36,827","36,827",,0,,0.0,"36,793",-904,-904,,-904,-904,,0,,0.0,1,-442,-442,,-442,-442,,0,,0.0,1,"4,256","4,256","4,256","4,256","4,256",,0,,0.0,"4,096"
