Chip Run Info,C:\Documents and Settings\regmgka\Desktop\PCR data files\241111_GK_SEJLTHSC9+_left\ChipRun.bml,1131214095,48.48 (113x),Default-10min-Hot-Start,ROX,FAM-MGB,24/11/2011 14:45:06,01:31:39,BIOMARK190
Application Version,3.0.2
Application Build,20100811.2212
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent
ID,Name,Type,rConc,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call
S48-A01,sc_42,Unknown,1,control,Reference,,13.9974541306985,0.96,Pass,0.0212016009526505,0,0.96,Pass
S48-A02,sc_42,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A03,sc_42,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A04,sc_42,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A05,sc_42,Unknown,1,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A06,sc_42,Unknown,1,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A07,sc_42,Unknown,1,Bmi1,Test,control,37.6962385226746,0.2,Fail,0.0212016009526505,23.698784391976,0.2,Fail
S48-A08,sc_42,Unknown,1,Cited2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A09,sc_42,Unknown,1,Epor,Test,control,37.908379686953,0.19,Fail,0.0212016009526505,23.9109255562545,0.19,Fail
S48-A10,sc_42,Unknown,1,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A11,sc_42,Unknown,1,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A12,sc_42,Unknown,1,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A13,sc_42,Unknown,1,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A14,sc_42,Unknown,1,Ccna2,Test,control,18.1475253299254,0.92,Pass,0.0212016009526505,4.15007119922689,0.92,Pass
S48-A15,sc_42,Unknown,1,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A16,sc_42,Unknown,1,Il7r,Test,control,37.7270522785023,0.22,Fail,0.0212016009526505,23.7295981478038,0.22,Fail
S48-A17,sc_42,Unknown,1,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A18,sc_42,Unknown,1,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A19,sc_42,Unknown,1,Cbx4,Test,control,17.942447023171,0.91,Pass,0.0212016009526505,3.94499289247243,0.91,Pass
S48-A20,sc_42,Unknown,1,Ccnb2,Test,control,34.022153993341,0.35,Fail,0.0212016009526505,20.0246998626424,0.35,Fail
S48-A21,sc_42,Unknown,1,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A22,sc_42,Unknown,1,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A23,sc_42,Unknown,1,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A24,sc_42,Unknown,1,Runx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A25,sc_42,Unknown,1,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A26,sc_42,Unknown,1,Ccnd1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A27,sc_42,Unknown,1,Gata1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A28,sc_42,Unknown,1,ki67,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A29,sc_42,Unknown,1,p19,Test,control,35.2642134801114,0.42,Fail,0.0212016009526505,21.2667593494128,0.42,Fail
S48-A30,sc_42,Unknown,1,S100a6,Test,control,37.7470992982444,0.21,Fail,0.0212016009526505,23.7496451675458,0.21,Fail
S48-A31,sc_42,Unknown,1,Cd34,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A32,sc_42,Unknown,1,Ccne1,Test,control,36.4248235083963,0.3,Fail,0.0212016009526505,22.4273693776977,0.3,Fail
S48-A33,sc_42,Unknown,1,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A34,sc_42,Unknown,1,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A35,sc_42,Unknown,1,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S48-A36,sc_42,Unknown,1,Tal1,Test,control,35.0274912947487,0.39,Fail,0.0212016009526505,21.0300371640502,0.39,Fail
