"Bmi1" "Byglycan" "Cbx4" "Ccna2" "Ccnb2" "Ccnd1" "Ccne1" "Ccnf1" "Ccng1" "Cd150" "Cd34" "Cd48" "Cited2" "Epor" "Esam1" "Flt3" "Gata1" "Gata2" "Gfi1" "Hoxa5" "Ikzf1" "Mpl" "Mpo" "Pbx1" "Procr" "Rbl1" "Rbl2" "Runx1" "S100a6" "Tal1" "Tie1" "control" "control.1" "control.2" "ki67" "p16" "p19" "p21" "p27"
"sc_41.P0" -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2875314820274 -6.5548285066252 -26.2971569330385 -26.2971569330385 -26.2971569330385 -3.9074064600961 -3.638545864259 -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2971569330385 -24.8095738732685 -24.2927985995864 -26.2971569330385 -26.2971569330385 -23.4159491975925 -26.2971569330385 -26.2971569330385 -26.2971569330385 -23.3090497880293 -26.2971569330385 -26.2971569330385 -26.2971569330385 -26.2971569330385 -0.490993558045101 -1.67061075063 0 -26.2971569330385 -26.2971569330385 -22.7762986332947 -26.2971569330385 -12.6855227572822
"sc_39.P0" -27.4611165592551 -27.4611165592551 -27.4611165592551 -3.1046347002723 -1.493541043224 -27.4611165592551 -27.4611165592551 -2.2708223656575 -4.7782497933824 -3.7317716130757 -6.0875025477511 -2.5965119196571 -1.7924482945753 -3.9607153251653 -27.4611165592551 -27.4611165592551 -3.3034438990666 -5.7030261835132 -27.4611165592551 -27.4611165592551 -6.5269777658856 -27.4611165592551 -27.4611165592551 -5.2367014447618 -27.4611165592551 -6.166318000797 -5.547395519518 -27.4611165592551 -27.4611165592551 -27.4611165592551 -27.4611165592551 0 -4.4170175480591 -0.7080434157856 -0.7205449953138 -27.4611165592551 -3.5125588784568 -27.4611165592551 -3.2073335462165
"sc_38.P0" -6.2966508828526 -2.8626890181348 -6.1977009442844 -26.3988898398466 -26.3988898398466 -4.4219419491996 -3.2286028187391 -26.3988898398466 -3.9720391353498 -26.3988898398466 -1.9698627038188 -2.2872027228373 -1.1740462550148 -3.652041949607 -4.3798935362711 -9.9876196763835 -26.3988898398466 -4.0685554535598 -26.3988898398466 -26.3988898398466 -26.3988898398466 -1.8221396912739 -4.3036431725248 -26.3988898398466 -26.3988898398466 -4.3339060149644 -26.3988898398466 -5.1830718450484 -5.7591009653815 -26.3988898398466 -4.8353082541273 0 -2.2685688105279 -0.00589609124969925 -26.3988898398466 -26.3988898398466 -4.5379971980228 -26.3988898398466 -26.3988898398466
"sc_37.P0" -26.674762924424 -26.674762924424 -26.674762924424 -3.9625321314755 -4.8262921996804 -26.674762924424 -9.4262309090808 -4.333638529419 -3.618316418434 -26.674762924424 -26.674762924424 -3.8318271308883 -4.1294084348747 -3.0677043220645 -26.674762924424 -26.674762924424 -4.1051060096849 -26.674762924424 -26.674762924424 -26.674762924424 -4.4816227926822 -26.674762924424 -26.674762924424 -5.8289762111756 -26.674762924424 -4.5847506081781 -5.4499817009336 -4.9564268682061 -26.674762924424 -4.5289557985339 -26.674762924424 0 -2.0337455770595 -0.244649787672801 -1.9236841486698 -26.674762924424 -8.6756232990451 -4.2677584191579 -4.3849589895022
"sc_36.P0" -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -24.6004442521606 -25.403078615223 -25.403078615223 -25.403078615223 -3.1404333784003 -25.403078615223 -4.2228004458427 -25.403078615223 -0.9477366963016 -25.403078615223 -25.403078615223 -25.403078615223 -2.4624752995394 -25.403078615223 -24.3374324666135 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -4.4077710281621 -25.403078615223 -25.403078615223 0 -0.9489553236521 -0.530805702404301 -25.403078615223 -25.403078615223 -25.403078615223 -25.403078615223 -2.6686612237701
"sc_3.P0" -25.6054448201411 -25.6054448201411 -6.3112820348482 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -3.6078162892089 -25.6054448201411 -25.6054448201411 -2.8281406133164 -25.6054448201411 -0.979489825406 -25.6054448201411 -4.6927005671893 -25.6054448201411 -2.9593613730297 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -2.2786853978043 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 -25.6054448201411 0 -2.9573884338077 -2.9774998987604 -25.6054448201411 -4.4989807316134 -25.6054448201411 -2.9866812566847 -8.6187237448573
"sc_35.P0" -27.0399108194416 -3.9487797704925 -27.0399108194416 -27.0399108194416 -22.9608232529736 -4.034793870241 -24.2475206775089 -23.9430364176236 -4.074440649234 -27.0399108194416 -3.1376672184899 -27.0399108194416 -3.0751949290613 -3.7925970637137 -6.4145920036539 -25.0152592621086 -23.8979914138946 -27.0399108194416 -19.8613656168542 -21.0933803519632 -4.4598088634704 -1.2133710724809 -24.7148594845808 -2.7860433276763 -25.9596352314532 -4.7102152063136 -5.8695984675854 -27.0399108194416 -27.0399108194416 -4.568989771231 -23.2879553916883 0 -0.501940916921999 -1.8880778713228 -23.5881817880017 -7.2039045222467 -3.6405620694724 -24.0245982923483 -2.7544853124267
"sc_34.P0" -5.7543230275024 -6.8254478911599 -27.4024561531276 -5.2574862682588 -3.6773027524884 -27.4024561531276 -6.2672667634513 -3.312084709907 -27.4024561531276 -27.4024561531276 -3.9874106754855 -27.4024561531276 -3.0703707280887 -27.4024561531276 -27.4024561531276 -18.2134576925544 -3.5386586275743 -6.3464717391495 -27.4024561531276 -27.4024561531276 -27.4024561531276 -2.8285665791816 -27.4024561531276 -3.7016810465859 -27.4024561531276 -6.0762024152574 -27.4024561531276 -5.2762229762206 -27.4024561531276 -27.4024561531276 -27.4024561531276 -0.9637401281115 -2.9434780600465 0 -2.5157341055215 -6.176097886926 -4.1623642639704 -27.4024561531276 -4.7724863660936
"sc_1.P0" -30.1640626885341 -30.1640626885341 -8.81864169213795 -5.88259061844745 -4.73611115593285 -30.1640626885341 -7.85614825914055 -8.08660195245725 -7.09213067488935 -30.1640626885341 -4.84522019670755 -5.65125608402095 -7.12374938233895 -30.1640626885341 -30.1640626885341 -21.8842526101694 -30.1640626885341 -30.1640626885341 -8.20374313841695 -30.1640626885341 -30.1640626885341 -30.1640626885341 0 -30.1640626885341 -30.1640626885341 -7.78191891773805 -8.68334750902735 -9.15119158582785 -10.7827461309338 -30.1640626885341 -30.1640626885341 -1.67435477140945 -3.73850024853475 -2.36616311788665 -5.21054622252365 -10.0134113512568 -30.1640626885341 -6.86390611690445 -14.6207560395401
"sc_33.P0" -6.1540607547336 -27.6573185398714 -27.6573185398714 -4.0995247857673 -6.0411812790724 -26.8082504948393 -27.6573185398714 -2.7672602647993 -6.7175543080147 -27.6573185398714 -4.8252791040253 -4.3084525327011 -3.5347809020423 -27.6573185398714 -27.6573185398714 -27.6573185398714 -4.8942272315771 -3.1930143509637 -23.5696075515248 -25.33877429031 -9.1545053220375 -3.351091097923 -5.2658618721792 -4.1836467848148 -27.6573185398714 -5.6393087574853 -6.6851260315586 -7.1199672619329 -7.719736755124 -27.6573185398714 -4.9717668899368 -0.787165913591998 -2.3902667112416 0 -1.2785194856483 -27.6573185398714 -3.2357828341102 -5.3889950361799 -6.2984879931539
"sc_6.P0" -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -5.2542008646607 -26.1652035455841 -5.0249152145653 -26.1652035455841 -3.3950455371623 -26.1652035455841 -5.2044680648901 -26.1652035455841 -26.1652035455841 -26.1652035455841 -24.8871734927704 -25.4597542171461 -5.0338674982507 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -4.5872125522488 -26.1652035455841 -26.1652035455841 -26.1652035455841 -4.5979544562541 0 -1.9350002006771 -0.994746468238001 -26.1652035455841 -26.1652035455841 -26.1652035455841 -26.1652035455841 -3.6303842760757
"sc_5.P0" -26.603001769857 -4.4741094017693 -26.603001769857 -26.603001769857 -3.8937240806138 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -3.7011256057762 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.5708726240533 -26.603001769857 -4.9814659952828 -4.2404653937495 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 -26.603001769857 0 -3.600685316488 -2.9479573921172 -26.603001769857 -26.603001769857 -25.5241686169399 -26.603001769857 -4.1112991586579
"sc_31.P0" -26.3414932748228 -26.3414932748228 -26.3414932748228 -4.0809014373607 -1.8683131673175 -26.3414932748228 -26.3414932748228 -8.3420867785207 -5.3083521286105 -26.3414932748228 -26.3414932748228 -5.0790360407236 -3.9161551331836 -4.0735006649052 -26.3414932748228 -26.3414932748228 -5.7431872820241 -5.9787824062148 -26.3414932748228 -26.3414932748228 -6.3041133620082 -26.3414932748228 -26.3414932748228 -26.3414932748228 -26.3414932748228 -5.6639809226235 -5.8915657053293 -26.3414932748228 -26.3414932748228 -26.3414932748228 -5.8558786988084 -0.116261205988001 -3.1847882784523 0 -1.4955706400693 -26.3414932748228 -3.4282797729871 -26.3414932748228 -8.8987182080926
"sc_4.P0" -4.6948248903886 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -2.630317497766 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -2.1578102908407 -2.9687887629028 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -24.905560613224 -5.9139659247885 -4.9887574092897 -0.0292187290374013 -1.7778605043262 0 -24.905560613224 -3.3373633787981 -3.2705547046384 -24.905560613224 -2.3621327119799
"sc_9.P0" -26.1785381879091 -26.1785381879091 -9.4232414926034 -26.1785381879091 -26.1785381879091 -4.12742774315 -26.1785381879091 -25.7583989672275 -5.4483670204313 -26.1785381879091 -1.7828267144137 -3.4568276466077 -3.4190967146422 -26.1785381879091 -4.5865598395834 -10.8431913444258 -26.1785381879091 -26.1785381879091 -2.797060466129 -26.1785381879091 -26.1785381879091 -2.7690988660249 -6.4647744785521 -26.1785381879091 -26.1785381879091 -5.7976042362101 -26.1785381879091 -26.1785381879091 -26.1785381879091 -26.1785381879091 -4.0204663007433 0 -2.3484763783068 -0.7152790344281 -26.1785381879091 -26.1785381879091 -24.5269708205014 -26.1785381879091 -23.6307401846924
"sc_29.P0" -28.0309060615618 -6.2320511703889 -28.0309060615618 -3.3806060980354 -1.2184634298266 -28.0309060615618 -28.0309060615618 -3.4548875031507 -4.9112537977273 -3.2868730117066 -3.3937029123332 -4.1429181875051 -5.4027337605467 -28.0309060615618 -28.0309060615618 -28.0309060615618 -27.4147869541943 -6.3950171463564 -21.7693501085271 -23.5507502800793 -10.6785053743308 -28.0309060615618 -2.4915314071621 -28.0309060615618 -28.0309060615618 -5.4265739629308 -5.8106648367288 -28.0309060615618 -28.0309060615618 -28.0309060615618 -6.1220911984371 -0.0229370147810002 -1.6573189765164 0 -1.9946175429944 -28.0309060615618 -4.0211307288616 -28.0309060615618 -4.4127501136325
"sc_8.P0" -4.3952532738658 -27.0778181692839 -8.3306504507686 -27.0778181692839 -27.0778181692839 -27.0778181692839 -27.0778181692839 -3.5167954501219 -4.1881634596631 -3.1536880526229 -3.4679993625379 -4.4188434646827 -3.4077617294919 -27.0778181692839 -27.0778181692839 -16.2107873529178 -4.1440450531 -4.7499904641984 -27.0778181692839 -27.0778181692839 -6.0417568890843 -2.5499003172476 -27.0778181692839 -1.1085262233945 -27.0778181692839 -6.7625178679815 -27.0778181692839 -27.0778181692839 -27.0778181692839 -5.9110148642327 -3.9124385972728 0 -2.9656913213346 -1.8127524825779 -27.0778181692839 -27.0778181692839 -5.2889528987509 -27.0778181692839 -5.3580575150047
"sc_7.P0" -26.4028524429555 -26.4028524429555 -26.4028524429555 -5.7475588402727 -1.7166004269166 -26.4028524429555 -26.4028524429555 -26.4028524429555 -5.1430708456097 -3.4773315661289 -4.7002797748866 -26.4028524429555 -2.3377644448055 -26.4028524429555 -6.9838731153245 -26.4028524429555 -26.4028524429555 -26.4028524429555 -26.4028524429555 -26.4028524429555 -26.4028524429555 -4.1213606952447 -26.4028524429555 -2.7603455152513 -26.4028524429555 -26.4028524429555 -26.4028524429555 -26.4028524429555 -26.4028524429555 -4.363762507382 -4.6717723680447 0 -4.8360108908586 -0.597471558200999 -26.4028524429555 -4.7355201519115 -4.8263974431987 -26.4028524429555 -9.7620605796795
"sc_26.P0" -26.435127766873 -3.9812029267463 -26.435127766873 -5.0685517858839 -6.3423454860684 -4.4194121132263 -26.435127766873 -26.435127766873 -4.4715734476405 -26.435127766873 -2.3529815966058 -3.4179007875268 -3.8452051165946 -26.435127766873 -26.435127766873 -12.2688144473483 -26.435127766873 -26.435127766873 -26.435127766873 -26.435127766873 -26.435127766873 -1.4497184666159 -2.6103530118785 -26.435127766873 -26.435127766873 -4.4291452852869 -4.4498908375412 -6.3841186370765 -26.435127766873 -26.435127766873 -4.8450262223049 0 -1.7602551351081 -2.1344252529707 -3.1846592543566 -26.435127766873 -22.8681028140329 -26.435127766873 -2.3179215161801
"sc_25.P0" -26.4194190954197 -26.4194190954197 -26.4194190954197 -26.4194190954197 -26.4194190954197 -26.4194190954197 -26.4194190954197 -26.4194190954197 -4.4493863030684 -26.4194190954197 -2.8177855402076 -26.4194190954197 -1.2179605817477 -26.4194190954197 -3.5854437475558 -26.4194190954197 -26.4194190954197 -4.0244166855305 -26.4194190954197 -26.4194190954197 -5.770729043719 -2.27665836888 -26.4194190954197 -1.8761847041194 -13.1028243304239 -6.3157406897936 -4.6528250902603 -5.1544236545391 -6.1124656848996 -26.4194190954197 -4.487967985661 0 -2.7583792087773 -0.2970727121872 -26.4194190954197 -26.4194190954197 -26.4194190954197 -26.4194190954197 -5.740860069695
"sc_10.P0" -26.8142012152357 -26.8142012152357 -26.8142012152357 -4.6666603638661 -26.8142012152357 -6.7302046880177 -12.9590122370522 -3.2090811147298 -5.404933974393 -3.061570006832 -4.2293274064342 -2.2437985832465 -3.5834025315174 -26.8142012152357 -26.8142012152357 -26.8142012152357 -26.8142012152357 -8.364872978105 -26.8142012152357 -26.8142012152357 -26.8142012152357 -3.9166034776698 -4.9802797826442 -4.5918883443965 -26.8142012152357 -5.5091147038424 -26.8142012152357 -26.8142012152357 -26.8142012152357 -26.8142012152357 -26.8142012152357 0 -1.5768852217351 -1.5904417062392 -3.869381096177 -26.8142012152357 -26.3445655760643 -26.8142012152357 -6.0998631707883
"sc_24.P0" -3.2149918066021 -25.675305621045 -25.675305621045 -25.675305621045 -24.7756202970222 -25.675305621045 -25.675305621045 -25.675305621045 -4.3355390817911 -25.675305621045 -3.2914033516003 -1.5248416152581 -0.455061359704301 -25.675305621045 -5.1701566730766 -25.675305621045 -9.4197157292012 -25.675305621045 -25.675305621045 -25.675305621045 -4.3439128611251 -25.675305621045 -2.4690771863618 -25.675305621045 -25.675305621045 -25.675305621045 -25.675305621045 -25.675305621045 -25.675305621045 -25.675305621045 -4.7876797036797 0 -1.2886673043974 -0.5951155367356 -25.675305621045 -3.6773096967742 -25.675305621045 -25.675305621045 -25.675305621045
"sc_15.P0" -5.3171068078317 -26.139513910577 -26.139513910577 -26.139513910577 -2.2790941878335 -26.139513910577 -26.139513910577 -26.139513910577 -3.4896724975563 -1.6602827613054 -4.4130537395197 -26.139513910577 -3.3883124527604 -26.139513910577 -26.139513910577 -26.139513910577 -5.1395594516398 -2.2104298435053 -25.2257286882017 -26.139513910577 -26.139513910577 -26.139513910577 -26.139513910577 -3.1170664851248 -26.139513910577 -4.3017177090989 -3.8847550024216 -5.3666705462394 -26.139513910577 -26.139513910577 -26.139513910577 0 -1.9784906477771 -0.129308224564799 -3.3270331412699 -26.139513910577 -4.2786071488774 -26.139513910577 -4.4171093763022
"sc_23.P0" -5.1517115481083 -26.5780073742833 -5.5565803937935 -7.1807144155431 -26.5780073742833 -26.5310865455685 -26.5780073742833 -10.0988656882796 -26.5780073742833 -26.5780073742833 -2.9106881450591 -4.0741642171757 -2.7808639268567 -26.5780073742833 -5.3534712627294 -26.5780073742833 -26.5780073742833 -4.6707351683075 -23.1255610063147 -24.595586179456 -26.5780073742833 -3.019457626885 -26.5780073742833 -3.0664559064255 -26.5780073742833 -9.1952107369791 -4.4850061906291 -5.1012253600315 -26.5780073742833 -26.5780073742833 -26.5780073742833 0 -1.0667162625713 -0.945880992001401 -0.9901532101317 -26.5780073742833 -24.7533163122409 -26.5780073742833 -26.2249414612112
"sc_14.P0" -25.0321288349593 -25.0321288349593 -25.0321288349593 -3.7974510599491 -2.723460086751 -25.0321288349593 -25.0321288349593 -22.9131523632963 -25.0321288349593 -25.0321288349593 -4.2445180997222 -2.217435534249 -1.4594049863393 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -20.09458930152 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -25.0321288349593 -3.9039925634842 -25.0321288349593 -25.0321288349593 -0.0184749722118003 -1.0857295071782 0 -25.0321288349593 -25.0321288349593 -3.273192694697 -2.5822804427435 -25.0321288349593
"sc_13.P0" -5.0620829098528 -25.884036019414 -25.884036019414 -25.884036019414 -25.884036019414 -4.4793318680325 -4.4075719857441 -25.884036019414 -25.884036019414 -25.884036019414 -4.3745976935844 -3.8626790364539 -2.6114478578349 -25.884036019414 -25.884036019414 -17.6087685764186 -25.884036019414 -4.4452032763771 -25.884036019414 -25.884036019414 -25.884036019414 -1.9326160265764 -25.884036019414 -1.9571683585663 -25.884036019414 -6.7019516258946 -25.884036019414 -25.884036019414 -25.884036019414 -25.884036019414 -25.884036019414 0 -1.2711260609223 -1.0682921658696 -25.884036019414 -4.608779793652 -5.186270062084 -3.5727823531664 -3.8031088309386
