Chip Run Info,C:\Users\eva\Documents\PCR\Result\KJP\140506EES humsc y112\ChipRun.bml,1131292161,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-05-06 17:25,00:30:20,BIOMARKHD151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Version,4.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Build,20140110.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Type,Heatmap Results : Inlet-based View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvaGreen Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,ERG,LDB1,TAL1,SIGLEC5,KLF4,HOXA4,CBFA2T3,LMO2,ETV6,FN3K,KLF11,ITGA2B7,FLI1,LYL1,CLNK,PAX5,CEACAM1-2,ITGA2B4,GATA1,MEIS1,LCK,CSF1R,ANXA2,AREG,GATA2,MITF,PLEK,PLOD3,JUN,FIGN,GFI1,NFE2,CSF2RB,CR1,HIST1H3A,Hsp-90,GFI1B,SPI1,IL7R,CD22,ABO,actin,HHEX,RUNX1,ID2,CST7, IL13RA1,CD34
1,Y112A1,15.48701058,14.49960659,15.56810235,28.13858604,16.42827973,23.7926062,15.81014045,14.62066624,13.8552036,999,17.67819112,999,12.69803101,15.64298621,999,999,999,999,999,14.9975545,999,999,20.27403762,999,16.07073967,999,14.75143959,999,999,17.51920285,999,14.32250576,16.02521169,16.3247204,14.87071873,14.2315195,14.96713689,17.35647698,999,999,14.39019404,12.20119967,16.06713229,15.88704935,19.25958526,999,999,13.7810811
2,Y112A2,14.08392184,14.50174973,18.55384722,25.66949268,999,16.43206449,21.07536371,17.25485189,13.87863183,999,999,999,14.95130483,999,999,999,999,19.83874904,999,16.57000869,999,999,19.15542734,17.78569277,15.58563058,999,16.98584764,27.839064,15.51152869,999,999,13.95905669,17.75455268,24.70944675,14.30565609,15.35071616,16.48219067,18.5943574,999,999,999,12.81186454,16.39799262,15.6109475,999,999,999,15.41245754
3,Y112A3,13.80804066,15.50185694,17.17084097,999,999,22.47674446,17.67604052,13.04606994,11.86390974,19.18153989,999,999,15.1140688,14.79618357,999,999,999,999,999,17.6019287,999,999,17.84482744,12.82619594,15.34151389,999,15.56002209,26.49440849,12.57533333,23.23205671,999,16.58971608,22.88128644,16.62194531,14.34045564,11.97284614,26.07234683,14.70939657,999,999,999,9.723823327,14.92630459,13.35522812,20.3433558,999,999,13.65655342
4,Y112A4,12.85083631,13.34887963,999,999,999,16.36492667,21.66275967,12.96137797,12.3567285,20.20442763,999,999,12.96574651,999,999,999,999,999,999,13.89538879,999,999,17.3254367,999,15.92228339,999,14.42725716,999,14.9360999,22.63653515,999,13.11472573,21.97884329,16.7100962,16.97494227,13.71930076,999,13.69114967,999,999,14.75876888,10.50587932,999,14.54102292,999,999,17.60553582,13.55397597
5,Y112A5,13.4475692,14.65136992,999,15.92579438,16.80094291,21.76036244,16.07132267,12.43723733,13.27287622,999,999,999,13.20082629,16.45287238,25.51789816,999,16.54955412,999,999,15.02457075,999,999,999,14.98997384,999,999,13.88329014,999,15.63212125,17.66620327,17.76086826,13.74787626,22.62335323,999,16.35760062,13.0155617,18.14119034,15.1536703,999,999,14.42365035,9.673599363,999,12.63695308,999,16.0142228,999,12.70466895
6,Y112A6,14.67811705,14.87789801,16.46244489,999,24.74919614,15.33896494,17.70904214,16.53272865,13.68257061,999,15.38230046,22.51412661,12.78563628,16.25127178,25.53883291,999,999,16.18174797,999,16.18262962,999,999,999,13.30626199,15.32033455,999,14.19569043,999,16.96775281,999,999,12.95561567,16.89398712,999,15.45656008,14.9862202,16.79382598,15.69437403,999,999,15.67786427,11.25638365,16.57502173,15.91138573,17.22383285,999,999,14.3326678
7,Y112B1,14.75852472,16.81481952,15.63066746,16.83612697,999,22.47378701,17.05694843,13.7165839,12.16249749,999,14.85535787,999,13.91566816,15.97435889,999,999,999,999,999,13.62529032,999,999,999,11.61108766,16.70659367,999,14.44133101,999,999,999,19.43597872,14.23203732,21.64922116,999,12.90936033,12.50639374,14.96497242,14.3087051,999,999,14.62264914,9.598725928,15.70478226,13.49478616,999,999,999,13.00074361
8,Y112B2,13.18516568,15.71207745,15.71511939,26.2740507,17.02626138,21.62338716,16.56381938,13.02378214,13.09937109,999,17.68983313,999,13.58745497,14.62807288,999,999,17.20106644,21.04748586,999,16.62588061,999,999,999,16.48190244,16.98958761,999,13.9231939,24.22971084,14.49817479,16.6710394,17.20836285,999,15.80385223,21.17655334,14.69334912,14.74849715,14.70340856,14.04960343,999,999,999,10.58311777,14.01919497,14.00036105,23.63120157,999,17.01708676,12.43846862
9,Y112B3,15.06405858,14.89218976,15.62822773,999,999,22.42754069,15.93211645,13.48618882,12.89158407,999,999,999,12.94414612,16.18144001,24.69528668,999,999,999,999,15.58139782,999,999,999,17.29642932,999,999,15.12649342,999,11.75666273,17.30807667,16.50244184,14.66494007,21.7380446,16.30228273,999,14.61876957,16.80135804,14.79747846,999,15.14115233,999,8.678576325,15.15695598,13.95844821,17.56535719,999,999,13.46385903
