	ERG	LDB1	TAL1	SIGLEC5	KLF4	HOXA4	CBFA2T3	LMO2	ETV6	FN3K	KLF11	ITGA2B7	FLI1	LYL1	CLNK	PAX5	CEACAM1-2	ITGA2B4	GATA1	MEIS1	LCK	CSF1R	ANXA2	AREG	GATA2	MITF	PLEK	PLOD3	JUN	FIGN	GFI1	NFE2	CSF2RB	CR1	HIST1H3A	Hsp-90	GFI1B	SPI1	IL7R	CD22	ABO	actin	HHEX	RUNX1	ID2	CST7	IL13RA1	CD34
Y112A1	0.300284813	0.595348944	0.283871841	2.5741E-297	0.156380688	2.5741E-297	0.240027822	0.547430516	0.930585366	2.5741E-297	0.065754019	2.5741E-297	2.075390751	0.26951319	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.421574498	2.5741E-297	2.5741E-297	0.010876637	2.5741E-297	0.200361099	2.5741E-297	0.499991132	2.5741E-297	2.5741E-297	0.073414617	2.5741E-297	0.673107223	2.5741E-297	0.168018687	0.46031561	0.716925194	0.430557286	0.082180335	2.5741E-297	2.5741E-297	0.642255818	2.928606431	0.200862717	0.227567218	0.021972285	2.5741E-297	2.5741E-297	0.979646326
Y112A2	0.794154805	0.594465201	0.035836332	2.5741E-297	2.5741E-297	0.155970978	0.006241248	0.088177972	0.915595432	2.5741E-297	2.5741E-297	2.5741E-297	0.435308219	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.014707185	2.5741E-297	0.141748494	2.5741E-297	2.5741E-297	0.02361728	0.061032489	0.280443766	2.5741E-297	0.106252328	2.5741E-297	0.295224695	2.5741E-297	2.5741E-297	0.86595101	0.062364175	2.5741E-297	0.681014729	0.33003658	0.150644857	0.034844061	2.5741E-297	2.5741E-297	2.5741E-297	1.917929193	0.159698358	0.275565369	2.5741E-297	2.5741E-297	2.5741E-297	0.316210343
Y112A3	0.961509715	0.297210515	0.093465194	2.5741E-297	2.5741E-297	2.5741E-297	0.06585211	1.630533478	3.699946116	0.023193657	2.5741E-297	2.5741E-297	0.388866053	0.484722322	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.069323356	2.5741E-297	2.5741E-297	0.058581403	1.898971239	0.332148456	2.5741E-297	0.285466213	2.5741E-297	2.259620772	0.001399723	2.5741E-297	0.139825357	2.5741E-297	0.136736346	0.664784365	3.4308543	2.5741E-297	0.514776262	2.5741E-297	2.5741E-297	2.5741E-297	16.30893504	0.442917348	1.316024073	0.010366396	2.5741E-297	2.5741E-297	1.067962196
Y112A4	1.866813356	1.321827917	2.5741E-297	2.5741E-297	2.5741E-297	0.163400843	0.00415382	1.729117645	2.629312278	0.011414301	2.5741E-297	2.5741E-297	1.723889727	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.905022278	2.5741E-297	2.5741E-297	0.083967643	2.5741E-297	0.222076803	2.5741E-297	0.625966277	2.5741E-297	0.439920307	0.002115008	2.5741E-297	1.554756087	2.5741E-297	0.12863167	0.107058536	1.022508785	2.5741E-297	1.042656776	2.5741E-297	2.5741E-297	0.49745748	9.484256501	2.5741E-297	0.578500887	2.5741E-297	2.5741E-297	0.069150245	1.146660278
Y112A5	1.234429805	0.535903103	2.5741E-297	0.221537006	0.120781474	2.5741E-297	0.200280147	2.486603824	1.393330761	2.5741E-297	2.5741E-297	2.5741E-297	1.464682246	0.153737565	0.000287035	2.5741E-297	0.143772522	2.5741E-297	2.5741E-297	0.41375345	2.5741E-297	2.5741E-297	2.5741E-297	0.423795497	2.5741E-297	2.5741E-297	0.912643837	2.5741E-297	0.27155056	0.066302668	0.062091764	1.00245518	2.5741E-297	2.5741E-297	0.164232708	1.665381034	0.047702995	0.37833698	2.5741E-297	2.5741E-297	0.62753318	16.88668967	2.5741E-297	2.16514091	2.5741E-297	0.208365915	2.5741E-297	2.065863666
Y112A6	0.526059156	0.458030631	0.152720868	2.5741E-297	2.5741E-297	0.332735812	0.064362843	0.145459089	1.048875465	2.5741E-297	0.322889748	0.002302293	1.95311611	0.176794123	0.0002829	2.5741E-297	2.5741E-297	0.185522494	2.5741E-297	0.185409154	2.5741E-297	2.5741E-297	2.5741E-297	1.361457561	0.337060495	2.5741E-297	0.734952835	2.5741E-297	0.107593378	2.5741E-297	2.5741E-297	1.736037758	0.113237749	2.5741E-297	0.30669019	0.424899574	0.121378771	0.260082272	2.5741E-297	2.5741E-297	0.263075668	5.637401608	0.141256805	0.223760653	0.090094394	2.5741E-297	2.5741E-297	0.668382656
Y112B1	0.497541676	0.119625302	0.271824338	0.117871516	2.5741E-297	2.5741E-297	0.101142803	1.024436175	3.008233417	2.5741E-297	0.46524293	2.5741E-297	0.892389745	0.214203671	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	1.091357431	2.5741E-297	2.5741E-297	2.5741E-297	4.408617573	0.128944338	2.5741E-297	0.619889506	2.5741E-297	2.5741E-297	2.5741E-297	0.019443548	0.716667921	2.5741E-297	2.5741E-297	1.792600086	2.370218827	0.431203737	0.679576985	2.5741E-297	2.5741E-297	2.5741E-297	17.78622051	0.258212678	1.19468298	2.5741E-297	2.5741E-297	2.5741E-297	1.682574502
Y112B2	1.480668136	0.256910284	0.256369156	2.5741E-297	0.103317219	2.5741E-297	0.142357915	1.655918719	1.571391773	2.5741E-297	0.065225544	2.5741E-297	1.120357395	0.544627266	2.5741E-297	2.5741E-297	0.091527403	2.5741E-297	2.5741E-297	0.136363873	2.5741E-297	2.5741E-297	2.5741E-297	0.150674957	0.105977242	2.5741E-297	0.887746763	2.5741E-297	0.59594009	0.132161567	0.091065673	2.5741E-297	2.5741E-297	0.005818491	0.520534207	0.501011927	0.516917317	0.813272405	2.5741E-297	2.5741E-297	2.5741E-297	8.989844919	0.830596113	0.84151037	0.001061421	2.5741E-297	0.103976344	2.484482492
Y112B3	0.402582237	0.453515651	0.272284408	2.5741E-297	2.5741E-297	2.5741E-297	0.220568328	1.201823615	1.814824363	2.5741E-297	2.5741E-297	2.5741E-297	1.749894421	0.185562101	0.000507652	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.281267776	2.5741E-297	2.5741E-297	2.5741E-297	0.085673016	2.5741E-297	2.5741E-297	0.385531482	2.5741E-297	3.985473869	0.084984134	0.148545022	0.530885975	2.5741E-297	0.170652241	2.5741E-297	0.548150679	0.120746725	0.484287456	2.5741E-297	0.381634016	2.5741E-297	33.65706978	0.377476314	0.866316311	0.071103126	2.5741E-297	2.5741E-297	1.220569946
Y112B4	0.82605601	0.804426792	0.726226955	2.5741E-297	0.235219543	0.463500927	0.279738615	1.380922144	1.913519236	2.5741E-297	2.5741E-297	2.5741E-297	0.579876334	0.360049297	0.000366234	2.5741E-297	2.5741E-297	0.14667	2.5741E-297	0.181925447	2.5741E-297	2.5741E-297	2.5741E-297	0.158903049	0.308380761	2.5741E-297	0.516835578	0.349100463	0.272503227	0.116915252	2.5741E-297	1.905659477	0.240609727	0.086801531	1.379357599	1.180592946	0.406904514	0.881183559	2.5741E-297	2.5741E-297	2.5741E-297	12.85013414	0.287852016	1.823680165	0.181824142	0.321695497	2.5741E-297	1.622125361
