Chip Run Info,E:\qPCR\data analysis\PCR\Data Analysis\Single Cell\iCtx_single_cell_K104_001_140220\ChipRun.bml,1131284040,48.48 (113x),GE 48x48 Standard v1,ROX,FAM-MGB,20/2/14 14:27,2:08:39,BIOMARKHD151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Version,3.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Build,20111121.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Type,Heatmap Results : Custom View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Correction Method,Linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM-MGB Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,bActin,Gapdh,HPRT1,UBC,TBP,YWHAZ,Tubb3,MAPT,NeuroD1,Sox1,FoxG1,Pax6,Tbr2,Emx2,Sp8,Sox5,Cux2,Bhlhb5,Lmo4,Emx1,Couptf1,Cux1,Satb2,Fezf2,Otx1,Ctip2,Tbr1,Brn2,Myt1l,Ascl1,Ngn2,vGlut1,vGlut2,GAD1,GFAP,Col1a1,LINE1 5UTR,LINE1 ORF1,WPRE,Albumin,NTC1,NTC2,NTC3,NTC4,NTC5,NTC6,NTC7,NTC8
1,HEFL2_r_1,999,10.35748967,999,10.76935679,999,11.2463315,999,999,17.43075624,999,15.14498716,999,999,999,14.29142097,999,999,14.68062234,999,999,12.38990839,13.87012837,999,999,999,999,999,15.17476759,999,999,999,999,999,999,999,9.812633158,7.341131591,6.703106482,999,999,999,999,999,999,999,999,999,999
7,HEFL2_r_2,999,7.686726241,999,9.701438112,14.17078621,10.04972007,13.42318234,26.46636887,14.65524826,15.33475535,13.71738582,999,999,999,13.75224425,15.0821406,24.22001439,13.93922981,11.90282135,999,11.76369608,13.75948434,27.15855636,27.94826312,999,30.72479525,27.59233047,15.15988865,29.3673089,27.22962834,16.85202077,999,999,999,999,7.873066488,6.809690626,5.072412556,7.78218502,13.3893404,999,999,999,999,999,999,999,999
13,HEFL2_r_3,999,8.824225314,999,10.20646559,999,11.59131478,14.06531279,999,26.26259999,16.09358052,999,999,999,999,14.63246252,14.80328874,44.48813942,15.61097796,13.97883625,46.09339592,11.97477034,999,999,999,999,999,999,17.47043499,999,22.92206339,14.51016072,999,999,999,999,8.633570727,6.562659215,4.699025938,8.68936115,13.02704208,999,999,999,999,999,999,999,999
19,HEFL2_r_4,21.39114699,7.830252672,14.89567475,13.03576461,999,13.28929506,13.68873037,999,999,999,999,999,999,999,999,999,999,999,999,999,999,11.80150766,999,999,999,999,999,999,999,999,999,999,999,999,999,8.537535564,12.34305088,9.15948695,7.760974532,999,999,999,999,999,999,999,999,999
25,HEFL2_r_5,10.73395497,9.289649104,10.73056844,6.928596783,10.2478732,9.438139032,9.890996046,11.14027319,10.89680843,11.17993875,11.17670195,11.20925204,10.95635993,10.98596382,11.16688957,11.10415938,11.08018721,10.8747974,10.81057969,11.55195987,10.17714113,10.93107816,11.0780089,11.57752814,11.39951487,11.24981847,11.42845951,11.16230597,11.10484273,11.19497168,11.48193787,11.84647706,11.53296753,11.47921182,11.56938825,9.658671543,9.674572667,9.942082896,7.462320244,11.61599643,12.54198996,12.18025286,12.33284352,12.34889058,12.47507544,12.50234729,12.24500873,12.48010227
31,HEFL2_r_6,32.6801902,18.62961418,26.60603896,19.24477718,29.83211003,40.23621847,29.01360415,29.19396224,42.21514478,51.97784808,27.05218414,999,999,51.2607873,999,31.06086766,32.44168901,35.43060459,21.82710035,36.40045768,52.00519976,45.36645688,52.72941826,999,999,999,999,36.47795982,53.60821589,34.50624519,999,999,999,999,999,19.06223723,18.97520267,19.67581707,20.38377511,999,34.22334186,999,999,999,999,999,999,999
37,HEFL2_r_7,24.47593012,21.32984488,24.46583661,21.0073159,24.74402859,23.1574936,24.12972586,24.76415028,25.22053682,24.91408289,25.4698613,25.23984331,25.44875599,25.53561833,24.89674179,25.12972418,24.18942146,24.66489118,23.48095459,25.23704473,23.09051702,23.56221795,25.42139781,25.2144399,25.31692454,25.58099704,24.82147983,24.83092434,25.38670859,25.95255522,24.93174729,26.80865139,26.31577256,25.88404944,25.97276915,19.63911343,22.75967187,23.89881978,22.79294662,26.16208904,26.4270226,30.28508013,26.04952551,32.54279873,27.09728978,27.38640409,26.91808691,26.21107529
43,HEFL2_r_8,999,28.1504891,32.37307626,999,999,999,999,999,999,999,999,999,999,999,999,28.09580204,999,999,999,999,999,999,40.39367216,999,999,999,999,999,999,999,999,999,999,999,999,26.65069053,26.5702049,24.95216484,999,999,999,999,999,999,999,999,999,999
2,BMNgn2_1,999,7.198434054,14.21150744,9.145755013,14.19748328,8.960236946,11.73203252,999,14.65673456,15.78474465,16.2194828,999,999,999,14.05034918,16.23725195,999,14.43977837,12.09821998,999,10.7406465,12.61328737,999,999,999,999,999,15.38270702,999,999,23.80237047,999,999,14.4218178,999,8.94787921,7.093480049,5.25752375,6.01508289,14.26561123,999,999,999,999,999,999,999,999
