Chip Run Info,D:\PCR DATA\Goran\01072014 HSC ss5 MS\ChipRun.bml,1361898495,96.96 (136x),GE 96x96 Standard v2,ROX,FAM-MGB,7/1/2014 5:04:21 PM,01:31:10,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.6
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,Comments
S96-A01,noRT,Reference,1,,ACE,Test,ref,999,0,Fail,0.00417469413939947,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A02,noRT,Reference,1,,Ccnf,Test,ref,999,0,Fail,0.00762680449631716,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A03,noRT,Reference,1,,Cd162,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A04,noRT,Reference,1,,CD34,Test,ref,999,0,Fail,0.0110004302618243,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A05,noRT,Reference,1,,CD53,Test,ref,999,0,Fail,0.00961195006642353,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A06,noRT,Reference,1,,CD9,Test,ref,999,0,Fail,0.0131871627125278,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A07,noRT,Reference,1,,CDKN2A,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A08,noRT,Reference,1,,CSF3R,Test,ref,999,0,Fail,0.00739483819285099,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A09,noRT,Reference,1,,GATA1,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A10,noRT,Reference,1,,HPRT,Test,ref,999,0,Fail,0.00798256174323489,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A11,noRT,Reference,1,,Lin28B,Test,ref,999,0,Fail,0.00623241913871582,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A12,noRT,Reference,1,,RAG2,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A13,noRT,Reference,1,,AHR,Test,ref,999,0,Fail,0.0106856699938162,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A14,noRT,Reference,1,,CCNG1,Test,ref,999,0,Fail,0.00646031329530732,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A15,noRT,Reference,1,,CD165,Test,ref,999,0,Fail,0.00740489284862091,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A16,noRT,Reference,1,,CD35,Test,ref,999,0,Fail,0.00586561205902168,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A17,noRT,Reference,1,,CD54,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A18,noRT,Reference,1,,CD93,Test,ref,999,0,Fail,0.00678282059893852,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A19,noRT,Reference,1,,CDKN2B,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A20,noRT,Reference,1,,EBF1,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A21,noRT,Reference,1,,GATA2,Test,ref,999,0,Fail,0.00532992442214292,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A22,noRT,Reference,1,,ID2,Test,ref,999,0,Fail,0.0122855592702119,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A23,noRT,Reference,1,,LMO2,Test,ref,999,0,Fail,0.00758847865136622,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A24,noRT,Reference,1,,ref,Reference,,17.5714531064141,1,Pass,0.00547711740858932,0,1,Pass,0,1,Pass,0,1,1,Pass,
S96-A25,noRT,Reference,1,,BMI1,Test,ref,999,0,Fail,0.0128993322677345,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A26,noRT,Reference,1,,CCR,Test,ref,999,0,Fail,0.00818805193545112,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A27,noRT,Reference,1,,CD18,Test,ref,999,0,Fail,0.00925003762727756,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A28,noRT,Reference,1,,CD36,Test,ref,999,0,Fail,0.0142798031525467,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A29,noRT,Reference,1,,CD55,Test,ref,999,0,Fail,0.00668291726756213,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A30,noRT,Reference,1,,CD97,Test,ref,999,0,Fail,0.00847193364645452,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A31,noRT,Reference,1,,CDKN2C,Test,ref,999,0,Fail,0.00740745955247231,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A32,noRT,Reference,1,,ENG,Test,ref,999,0,Fail,0.00900706227692326,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A33,noRT,Reference,1,,GFI1,Test,ref,999,0,Fail,0.00459278880011109,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A34,noRT,Reference,1,,IGF2BPI,Test,ref,23.211621129519,0.877728308604974,Pass,0.00917964402223912,0,0.877728308604974,Pass,5.6401680231049,0.877728308604974,Pass,0,1,0.877728308604974,Pass,
S96-A35,noRT,Reference,1,,LYL1,Test,ref,999,0,Fail,0.00543433262818719,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A36,noRT,Reference,1,,RUNX1,Test,ref,999,0,Fail,0.00906314899108036,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A37,noRT,Reference,1,,CCNA1,Test,ref,999,0,Fail,0.0233889804490084,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A38,noRT,Reference,1,,CD100,Test,ref,999,0,Fail,0.00775506250391744,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A39,noRT,Reference,1,,CD84,Test,ref,999,0,Fail,0.0195040049282306,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A40,noRT,Reference,1,,CD38,Test,ref,999,0,Fail,0.015635308545831,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A41,noRT,Reference,1,,CD56,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A42,noRT,Reference,1,,CD98,Test,ref,999,0,Fail,0.00959679854555403,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A43,noRT,Reference,1,,CEACAM1,Test,ref,999,0,Fail,0.00517922557972216,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A44,noRT,Reference,1,,EPOR,Test,ref,999,0,Fail,0.00714922939070527,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A45,noRT,Reference,1,,Hes1,Test,ref,999,0,Fail,0.00476066601553474,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A46,noRT,Reference,1,,IK7F,Test,ref,999,0,Fail,0.00709356824211718,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A47,noRT,Reference,1,,mKi67,Test,ref,999,0,Fail,0.00665043797732045,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A48,noRT,Reference,1,,SELL,Test,ref,999,0,Fail,0.00840508919325634,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A54,noRT,Reference,1,,CD99,Test,ref,999,0,Fail,0.00879726160737329,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A53,noRT,Reference,1,,CD61,Test,ref,999,0,Fail,0.0106381859274878,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A52,noRT,Reference,1,,CD4,Test,ref,999,0,Fail,0.00718298207592986,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A51,noRT,Reference,1,,CD22,Test,ref,999,0,Fail,0.00877939272834603,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A50,noRT,Reference,1,,CD11a,Test,ref,999,0,Fail,0.00812914085089729,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A49,noRT,Reference,1,,CCNB1,Test,ref,999,0,Fail,0.0138130606667782,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A60,noRT,Reference,1,,SELP,Test,ref,999,0,Fail,0.00733681638298117,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A59,noRT,Reference,1,,MPL,Test,ref,999,0,Fail,0.00889315713841857,999,0,Fail,999,0,Fail,999,-1,0,Fail,
