Chip Run Info,C:\Users\eva\Documents\PCR\Result\KJP\140506EES humsc y112\ChipRun.bml,1131292161,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-05-06 17:25:48,00:30:20,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,Ref Y2,Unknown,1,ERG,Test,10.9648752698003,1,Pass,0.0103622541840018,85.2072519288714,999,1,
S48-A02,Ref Y2,Unknown,1,LDB1,Test,10.9700640466334,1,Pass,0.0103622541840018,83.2079507399308,999,1,
S48-A03,Ref Y2,Unknown,1,TAL1,Test,13.5892023597943,1,Pass,0.0103622541840018,82.6887716309317,999,1,
S48-A04,Ref Y2,Unknown,1,SIGLEC5,Test,15.9098500249835,1,Pass,0.0103622541840018,82.3378880467263,999,1,
S48-A05,Ref Y2,Unknown,1,KLF4,Test,15.7807865602429,1,Pass,0.0103622541840018,87.4046458441668,999,1,
S48-A06,Ref Y2,Unknown,1,HOXA4,Test,14.4274125597928,1,Pass,0.0103622541840018,85.7042332627511,999,1,
S48-A07,Ref Y2,Unknown,1,CBFA2T3,Test,13.4513904362072,1,Pass,0.0103622541840018,81.2621539050375,999,1,
S48-A08,Ref Y2,Unknown,1,LMO2,Test,11.5675234995625,1,Pass,0.0103622541840018,85.0843263727283,999,1,
S48-A09,Ref Y2,Unknown,1,ETV6,Test,10.133887078157,1,Pass,0.0103622541840018,81.6113079283236,999,1,
S48-A10,Ref Y2,Unknown,1,FN3K,Test,18.2343313615523,1,Pass,0.0103622541840018,82.9812562562852,999,1,
S48-A11,Ref Y2,Unknown,1,KLF11,Test,14.0836860677652,1,Pass,0.0103622541840018,83.9546934189994,999,1,
S48-A12,Ref Y2,Unknown,1,ITGA2B7,Test,15.6673505539417,1,Pass,0.0103622541840018,80.8471865124714,999,1,
S48-A13,Ref Y2,Unknown,1,FLI1,Test,12.5505363240288,1,Pass,0.0103622541840018,85.3348517336852,999,1,
S48-A14,Ref Y2,Unknown,1,LYL1,Test,12.9034282969222,1,Pass,0.0103622541840018,84.5159241296411,999,1,
S48-A15,Ref Y2,Unknown,1,CLNK,Test,15.5494158077415,1,Pass,0.0103622541840018,80.2398238312237,999,1,
S48-A16,Ref Y2,Unknown,1,PAX5,Test,17.9973932255811,1,Pass,0.0103622541840018,86.557072832509,999,1,
S48-A17,Ref Y2,Unknown,1,CEACAM1-2,Test,18.5611980872545,1,Pass,0.0103622541840018,82.862626947145,999,1,
S48-A18,Ref Y2,Unknown,1,ITGA2B4,Test,15.7888597863113,1,Pass,0.0103622541840018,85.8109259038826,999,1,
S48-A19,Ref Y2,Unknown,1,GATA1,Test,17.2520095350339,1,Pass,0.0103622541840018,82.2248697555089,999,1,
S48-A20,Ref Y2,Unknown,1,MEIS1,Test,13.3587138433758,1,Pass,0.0103622541840018,83.1357445967929,999,1,
S48-A21,Ref Y2,Unknown,1,LCK,Test,999,0,Fail,0.0103622541840018,999,999,0,
S48-A22,Ref Y2,Unknown,1,CSF1R,Test,14.7610028102627,1,Pass,0.0103622541840018,79.5729936111822,999,1,
S48-A23,Ref Y2,Unknown,1,ANXA2,Test,15.724716030477,1,Pass,0.0103622541840018,82.143832621001,999,1,
S48-A24,Ref Y2,Unknown,1,AREG,Test,10.1831385950849,1,Pass,0.0103622541840018,83.8448953745747,999,1,
S48-A25,Ref Y2,Unknown,1,GATA2,Test,13.0009401312688,1,Pass,0.0103622541840018,86.049183792809,999,1,
S48-A26,Ref Y2,Unknown,1,MITF,Test,19.3518650441112,1,Pass,0.0103622541840018,85.1445897988503,999,1,
S48-A27,Ref Y2,Unknown,1,PLEK,Test,12.2933814823626,1,Pass,0.0103622541840018,82.8552443634678,999,1,
S48-A28,Ref Y2,Unknown,1,PLOD3,Test,15.7979776008855,1,Pass,0.0103622541840018,83.7689919435257,999,1,
S48-A29,Ref Y2,Unknown,1,JUN,Test,11.5320626091312,1,Pass,0.0103622541840018,87.2965449397243,999,1,
S48-A30,Ref Y2,Unknown,1,FIGN,Test,16.7270109075444,1,Pass,0.0103622541840018,85.7979847240285,999,1,
S48-A31,Ref Y2,Unknown,1,GFI1,Test,15.7915026378299,1,Pass,0.0103622541840018,88.3337325772262,999,1,
S48-A32,Ref Y2,Unknown,1,NFE2,Test,11.6848447140221,1,Pass,0.0103622541840018,85.0876861513196,999,1,
S48-A33,Ref Y2,Unknown,1,CSF2RB,Test,14.3198297975297,1,Pass,0.0103622541840018,83.9337280582966,999,1,
S48-A34,Ref Y2,Unknown,1,CR1,Test,17.0511727241191,1,Pass,0.0103622541840018,85.6001856489552,999,1,
