Chip Run Info,C:\Users\eva\Documents\PCR\Result\DB\Amol\Amol sc index sort (wt)\Index sort Plate-1 Amol\ChipRun.bml,1131292164,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-04-01 13:23:28,00:31:24,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,water,NTC,1,actin,Reference,999,0,Fail,0.0120476876168541,999,999,0,
S48-A02,water,NTC,1,Dnmt3a,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A03,water,NTC,1,gapdh,Reference,999,0,Fail,0.0120476876168541,999,999,0,
S48-A04,water,NTC,1,Id1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A05,water,NTC,1,Mds1-Evi1_Cust,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A06,water,NTC,1,Rag2,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A07,water,NTC,1,Bmi1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A08,water,NTC,1,Dnmt3b,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A09,water,NTC,1,Gata1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A10,water,NTC,1,Id2,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A11,water,NTC,1,Evi1a,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A12,water,NTC,1,Sfpi,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A13,water,NTC,1,Cbx2,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A14,water,NTC,1,Dntt,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A15,water,NTC,1,Gata2,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A16,water,NTC,1,ikaros,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A17,water,NTC,1,Meis1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A18,water,NTC,1,Slamf1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A19,water,NTC,1,Cd34,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A20,water,NTC,1,Ebf1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A21,water,NTC,1,Gfi1b,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A22,water,NTC,1,Il18,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A23,water,NTC,1,Mpl,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A24,water,NTC,1,Sox4,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A25,water,NTC,1,Cd48,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A26,water,NTC,1,Egr1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A27,water,NTC,1,Hlf,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A28,water,NTC,1,Il7r,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A29,water,NTC,1,Myb,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A30,water,NTC,1,Tal1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A31,water,NTC,1,Cebpa,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A32,water,NTC,1,Ezh2,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A33,water,NTC,1,Hoxa9,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A34,water,NTC,1,Jam2,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A35,water,NTC,1,Myc,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A36,water,NTC,1,Tcfe2a,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A37,water,NTC,1,Dicer1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A38,water,NTC,1,Fgd5,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A39,water,NTC,1,Hoxb5,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A40,water,NTC,1,Kit,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A41,water,NTC,1,Pax5,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A42,water,NTC,1,vwf,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A43,water,NTC,1,Dnmt1,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A44,water,NTC,1,Flt3,Test,999,0,Fail,0.0120476876168541,999,999,0,
S48-A45,water,NTC,1,hprt,Reference,999,0,Fail,0.0120476876168541,999,999,0,
S48-A46,water,NTC,1,Max,Test,999,0,Fail,0.0120476876168541,999,999,0,
